"Time"	G1	G3	G5	G8	G4	G83	G6	G7	G86	G85	G22	G87	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G19	G18

0	0.1218434	0.1134291	0.4304657	0.5132703	0.5470209	0.7912450	0.0513715	0.5945721	0.2491943	0.4053553	0.7342203	0.4342885	0.0917054	0.0127171	0.6125818	0.6884334	0.2291750	0.6520846	0.5414574	0.5842349	0.2001268	0.2592850	0.4819216	0.6024328	0.6815840
50	0.1932058	0.1981807	0.3821482	0.4243811	0.5366161	0.7026392	0.0427907	0.8059228	0.2397613	0.2282600	0.6499301	0.3852064	0.2238588	0.0034418	0.3809362	0.7119718	0.2155185	0.7241475	0.4739908	0.5530713	0.1534614	0.2918183	0.5351216	0.5492119	0.6336561
100	0.0971087	0.1059157	0.3637237	0.4307070	0.4861819	0.8754010	0.0438175	0.7492584	0.1974312	0.2721248	0.6213772	0.4905993	0.2650680	0.0080436	0.2689946	0.6968240	0.1119066	0.7328960	0.4569615	0.6037506	0.1536553	0.2925864	0.5741561	0.5900802	0.6107969
150	0.1702734	0.0685755	0.4879834	0.5326612	0.5351853	0.7776419	0.0261478	0.7351685	0.2517878	0.3097612	0.6438287	0.5888023	0.1800809	0.0282168	0.2098343	0.6446533	0.1001743	0.7371387	0.4676657	0.6772891	0.2549306	0.3585935	0.4969106	0.6436196	0.7936977
200	0.1797056	0.1635417	0.5685829	0.4386646	0.5542196	0.7276233	0.0329342	0.6111729	0.2929065	0.4362904	0.6854777	0.5381966	0.1693623	0.0180764	0.1899973	0.7529111	0.1603640	0.5699363	0.4609789	0.5725765	0.2105723	0.3681496	0.5898925	0.6740243	0.7068241
250	0.2356976	0.1635062	0.4052333	0.4419461	0.6160593	0.7014484	0.0358811	0.6621438	0.2086846	0.2703241	0.6732242	0.4670581	0.1617190	0.0108542	0.2248797	0.8003619	0.1587740	0.6639662	0.4264161	0.6626541	0.2304623	0.3926566	0.7234315	0.6982109	0.8230305
300	0.1195109	0.1848873	0.3535082	0.5578188	0.5266262	0.6770864	0.0424642	0.6991632	0.2457690	0.3637627	0.6127154	0.6279459	0.1322869	0.0075092	0.2249046	0.7703029	0.2601611	0.7173245	0.4716600	0.5848099	0.2182507	0.4134386	0.7706749	0.7093796	0.8040331
350	0.2626484	0.1776325	0.3261727	0.4564735	0.5148202	0.7943724	0.0334904	0.6682511	0.2739617	0.3815319	0.6645899	0.5689448	0.2175246	0.0099182	0.1897330	0.7782667	0.2075001	0.6081232	0.5063616	0.4192040	0.1989391	0.3599949	0.5314264	0.6993150	0.5446265
400	0.1942849	0.1567023	0.3537212	0.4392926	0.5542793	0.7529743	0.0351204	0.6027888	0.2421072	0.2599441	0.6590485	0.4836811	0.3257053	0.0167978	0.1969510	0.6057693	0.2054497	0.6265349	0.4970161	0.5562596	0.2038244	0.3626047	0.5766574	0.5820882	0.7458908
450	0.2278065	0.1501994	0.3810451	0.5215855	0.4088525	0.6700603	0.0213237	0.7316266	0.2896503	0.2738313	0.7513920	0.5985891	0.2290506	0.0109322	0.1664296	0.8651938	0.1079117	0.6307493	0.3653487	0.5559077	0.2084517	0.3681923	0.6421496	0.5610290	0.7116402
500	0.1655547	0.1341197	0.4042331	0.5526830	0.3460905	0.8076218	0.0452847	0.7932510	0.2221086	0.3195219	0.6513199	0.7002532	0.2224525	0.0157706	0.2520108	0.6711396	0.1626131	0.7499156	0.3201692	0.6001929	0.1714455	0.4385708	0.7968191	0.6980873	0.6418864
