"Time"	G1	G10	G20	G2	G17	G16	G4	G9	G8	G18	G94	G11	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G14	G12	G49	G39	G41	G44	G22	G21	G50	G13	G52	G53	G51	G55	G42	G40	G45	G54	G61	G47	G43	G48	G57	G72	G67	G60	G59	G99	G58	G80	G84	G83	G89	G82	G81	G79	G88	G78	G77	G85	G75	G90	G91	G86	G69	G93	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24

0	0.6302544	0.2111173	0.5928564	0.3810765	0.1929139	0.2773444	0.2912111	0.0505982	0.0006451	0.5111435	0.7621669	0.0399782	0.3821013	0.5198888	0.0497506	0.4862050	0.4247433	0.7274174	0.3828017	0.5746487	0.6334238	0.5862685	0.3894064	0.6698698	0.0292072	0.1266121	0.3749163	0.1877859	0.7086637	0.5912591	0.1575563	0.2244931	0.1761881	0.6487686	0.0978685	0.3789050	0.5347689	0.1483175	0.3867278	0.3998139	0.5717711	0.1617713	0.2072678	0.0341465	0.0247894	0.4174407	0.0357583	0.4226617	0.2839376	0.6902689	0.3798629	0.4792767	0.5777603	0.0539178	0.6873873	0.6993694	0.4418318	0.5806457	0.0614149	0.4207772	0.4466075	0.0096321	0.3113852	0.0072231	0.4030259	0.0081461	0.4715742	0.3947956	0.3195445	0.6175166	0.2492930	0.2023272	0.0254054	0.3612537	0.4051971	0.3889210	0.6377905	0.6790104	0.3799884	0.5878310	0.0483963	0.2942389	0.0198656	0.6453406	0.7996079
50	0.7265576	0.1383600	0.6306839	0.2748669	0.1588207	0.2149363	0.2933522	0.1934820	0.1335902	0.5051947	0.5243915	0.0260408	0.3146350	0.7049736	0.2612831	0.3994426	0.4363178	0.6105765	0.4859285	0.6897009	0.5652221	0.6638142	0.5231969	0.5847351	0.0136739	0.0588720	0.3276692	0.1470658	0.7627405	0.6563754	0.3476176	0.1343021	0.1276348	0.3785488	0.5326257	0.1849615	0.2319979	0.1342815	0.3658711	0.0793172	0.6521548	0.3660038	0.1379756	0.0866474	0.2786609	0.2990309	0.1223562	0.4202425	0.3773554	0.5530939	0.4968630	0.3582874	0.6271310	0.0778335	0.7623179	0.7051293	0.3918165	0.6071525	0.2714192	0.6571329	0.3276516	0.0036859	0.3367911	0.0107380	0.6008630	0.0460488	0.4708859	0.3419832	0.3814144	0.1529692	0.2583432	0.1946979	0.0326030	0.4612565	0.4011183	0.4264841	0.5161424	0.5876487	0.3742023	0.5454598	0.0561899	0.1041028	0.0233914	0.2059729	0.6487677
100	0.7101628	0.1021705	0.5095216	0.3799965	0.1441021	0.3067400	0.2579666	0.2601503	0.1676437	0.6185051	0.6162347	0.0230987	0.3498642	0.7626289	0.4141668	0.4429583	0.4063151	0.5676194	0.4745985	0.6776317	0.5905489	0.6758653	0.6698001	0.6068209	0.0318963	0.0262061	0.3809125	0.1245206	0.7084254	0.5908756	0.5271877	0.2387518	0.1533017	0.2376202	0.6382439	0.1469052	0.0792810	0.1231182	0.4947917	0.0378915	0.5183616	0.5177618	0.2070335	0.0021156	0.5038216	0.2079804	0.1842515	0.5244699	0.3359457	0.6335217	0.3440091	0.2530847	0.6375382	0.0642051	0.7577767	0.5420537	0.3144558	0.3889115	0.3931224	0.6477929	0.2762549	0.0058931	0.3471902	0.0000000	0.4474732	0.0123195	0.4544090	0.3637162	0.2813286	0.0591595	0.2156967	0.2282632	0.0182489	0.6685248	0.4543965	0.4379112	0.6159778	0.6586001	0.6496772	0.5496369	0.0750906	0.0128636	0.1435911	0.0676622	0.7075136
150	0.6949890	0.1614550	0.6887838	0.2728314	0.1546694	0.3094635	0.3071904	0.3542839	0.1771184	0.5293309	0.6300925	0.0077100	0.3730623	0.5363398	0.3195286	0.5827671	0.3639335	0.6619528	0.3921234	0.7183257	0.6581007	0.5637147	0.5840929	0.6314309	0.0277959	0.0115895	0.4016078	0.0472683	0.6043651	0.5912312	0.6678880	0.2591560	0.2442581	0.0883625	0.5957780	0.1896337	0.0626321	0.1264895	0.6167143	0.0551566	0.5502969	0.5449591	0.2852000	0.0000842	0.4600339	0.1234160	0.2213983	0.5488417	0.2985158	0.6323578	0.3237792	0.1830624	0.6517282	0.0379946	0.6323499	0.5097527	0.1612966	0.4135359	0.4715593	0.4763103	0.1535971	0.0077738	0.1861689	0.0124319	0.4134894	0.0239682	0.4488878	0.3659396	0.4085366	0.0252552	0.2906683	0.2279315	0.0096889	0.5992082	0.3070375	0.4032689	0.4828481	0.6371635	0.4254090	0.4384276	0.0609380	0.0490733	0.2636417	0.0940688	0.6040740
200	0.5162309	0.1244860	0.5362178	0.3067396	0.1564929	0.2211958	0.2916551	0.2984257	0.2158999	0.5480826	0.7164900	0.0033589	0.4847274	0.7392009	0.3670315	0.5084479	0.3891606	0.7126129	0.4962337	0.6859821	0.7319460	0.7243078	0.6857962	0.5522718	0.0075041	0.0033737	0.4574337	0.0332415	0.7458625	0.5655960	0.5065784	0.3387441	0.2769780	0.0371861	0.6496148	0.2080114	0.0627196	0.1504262	0.5911099	0.0594495	0.7155644	0.5313033	0.2665454	0.0014576	0.5303027	0.0419577	0.1734039	0.5717533	0.3371972	0.5805829	0.3070347	0.2935484	0.5655593	0.0533018	0.5754381	0.7038502	0.1046696	0.4932912	0.4368598	0.5938700	0.1151653	0.0115906	0.1668430	0.0066603	0.3982532	0.0066397	0.4555844	0.4312208	0.4556511	0.0807542	0.2853879	0.2193072	0.0150723	0.6051744	0.3088853	0.4981667	0.5211948	0.6320984	0.4953778	0.4689030	0.0622968	0.0411215	0.1969150	0.0733187	0.6432585
250	0.5052056	0.1139166	0.6274173	0.3801309	0.2284825	0.2394082	0.2477249	0.2925580	0.2170181	0.6588133	0.6815513	0.0000759	0.3724996	0.7016306	0.3782674	0.5183858	0.3288986	0.6186743	0.3702964	0.6496038	0.5830385	0.6932859	0.6724393	0.6819172	0.0076482	0.0003947	0.4078222	0.0250938	0.7284076	0.5241568	0.6621168	0.2587422	0.3097837	0.0368828	0.6816712	0.1823124	0.0604502	0.1404143	0.6300271	0.0579101	0.5703454	0.5685302	0.2921135	0.0068928	0.4382740	0.0147504	0.1465530	0.4358019	0.3320980	0.6506214	0.3091472	0.2112366	0.7753145	0.0439400	0.5517461	0.5706106	0.0379983	0.3790994	0.5687184	0.5276080	0.0931049	0.0076876	0.1310083	0.0077507	0.2606515	0.0134612	0.4317762	0.4983813	0.3885823	0.0169869	0.3006808	0.3206477	0.0183000	0.4499079	0.3045156	0.4778217	0.4769104	0.5243201	0.5430100	0.7743859	0.0391954	0.0277183	0.2052803	0.0570368	0.6748697
300	0.3509341	0.2164895	0.4766225	0.4760270	0.1536346	0.2755802	0.2462268	0.2420499	0.1637668	0.6670655	0.6812715	0.0010551	0.4489699	0.4710309	0.2965475	0.5120683	0.3792908	0.6531108	0.4276530	0.6397966	0.6016442	0.6612121	0.6158015	0.7166828	0.0168577	0.0002244	0.5230972	0.0564932	0.7065789	0.4646270	0.5532077	0.2923445	0.3260973	0.0101079	0.5541621	0.2602336	0.0478753	0.1789009	0.6157086	0.0361109	0.6073573	0.4676132	0.3073296	0.0107827	0.5229106	0.0088329	0.1153049	0.4852622	0.3236232	0.6676213	0.3098432	0.2270790	0.5584370	0.0524276	0.4719205	0.5238350	0.0358245	0.3331467	0.4616498	0.4898362	0.0776180	0.0064783	0.1225397	0.0165961	0.3189639	0.0094803	0.4645566	0.5426186	0.3837335	0.0448380	0.2103888	0.3417038	0.0085283	0.5359929	0.3616878	0.5036744	0.4821362	0.7043950	0.5691951	0.6285663	0.0395890	0.0280723	0.2322870	0.1055882	0.6077982
350	0.4533440	0.1398209	0.4922136	0.4944350	0.1574845	0.2452556	0.2468999	0.3312488	0.1733291	0.7366949	0.6837659	0.0033818	0.4703481	0.7030437	0.3734919	0.4740899	0.3114433	0.4569302	0.3844718	0.7011877	0.6728900	0.6375732	0.5917003	0.6697325	0.0553826	0.0011203	0.4474731	0.0485638	0.5961915	0.5474628	0.6055783	0.2506116	0.2037135	0.0053563	0.5393464	0.3425432	0.0300550	0.1833943	0.6697675	0.0768822	0.5635190	0.5150050	0.3386380	0.0003846	0.4844348	0.0151259	0.1246258	0.5955875	0.3343562	0.5483828	0.4015794	0.2836700	0.6101095	0.0485502	0.4098344	0.5614012	0.0287015	0.3717352	0.5024372	0.4699264	0.0862815	0.0086101	0.0869871	0.0078205	0.3244051	0.0158570	0.4636973	0.6337735	0.3883878	0.0216671	0.2102958	0.2844810	0.0118330	0.5846839	0.2998356	0.4575928	0.5223818	0.5317530	0.5829424	0.6368429	0.0444154	0.0127326	0.2157255	0.1030918	0.5440423
400	0.4230482	0.1967497	0.5052507	0.5193474	0.3096559	0.2779588	0.2099624	0.3446675	0.1998343	0.5871466	0.6494655	0.0014134	0.3717730	0.6100095	0.3628828	0.5646526	0.3631544	0.7206385	0.4812712	0.6481333	0.6384510	0.7350245	0.5858839	0.6751900	0.0361477	0.0025001	0.3885550	0.0918769	0.6684825	0.5588450	0.6361287	0.2531953	0.2273009	0.0048488	0.5913122	0.2121373	0.0388447	0.1623344	0.6402827	0.0638503	0.6434915	0.5752505	0.3197698	0.0005927	0.5599830	0.0089069	0.1916620	0.5629044	0.3296114	0.6856171	0.4092964	0.2391284	0.5957349	0.0799828	0.3322851	0.6413491	0.0378760	0.4508267	0.4341199	0.5108752	0.1352156	0.0178650	0.1009691	0.0039476	0.3346807	0.0066035	0.3784585	0.4668166	0.3849219	0.0416217	0.2140060	0.2163389	0.0288851	0.6264695	0.3362717	0.5098604	0.5763153	0.5567164	0.4792279	0.5870937	0.0235157	0.0185358	0.1697124	0.0892389	0.5867810
450	0.3716149	0.1719074	0.5303732	0.5914379	0.1897000	0.3577717	0.2158533	0.3192404	0.2638497	0.6505258	0.5394240	0.0076966	0.4665665	0.6629971	0.3659322	0.5505557	0.4339355	0.6246552	0.5349577	0.6333606	0.6268065	0.6540151	0.6884663	0.7533235	0.0227104	0.0017261	0.4098852	0.0800416	0.6967246	0.4723155	0.5895850	0.3045994	0.2372945	0.0042554	0.6241451	0.1536295	0.0332053	0.1724794	0.6468223	0.1060144	0.6305559	0.4813669	0.3984106	0.0005878	0.4261609	0.0165549	0.1723747	0.4552404	0.3298046	0.6198079	0.3919941	0.2036746	0.6573534	0.0721608	0.3311815	0.6217567	0.0287646	0.3802355	0.5315706	0.3959774	0.0953933	0.0160758	0.1012861	0.0107156	0.2564723	0.0111535	0.4127239	0.4488403	0.4336052	0.0118057	0.2586115	0.3135476	0.0128036	0.4707165	0.3893270	0.4807294	0.4338108	0.7681848	0.6430297	0.5182278	0.0780787	0.0191326	0.2989741	0.0858289	0.5583513
500	0.4569949	0.2381843	0.4248662	0.6603408	0.2601994	0.2788797	0.2115070	0.5022863	0.2528703	0.7439602	0.5969410	0.0035763	0.4501448	0.6281200	0.4109749	0.4521550	0.4428567	0.6029240	0.4901616	0.6325916	0.7040889	0.6526381	0.6410878	0.6806534	0.0311038	0.0011634	0.4546174	0.0497161	0.5951245	0.5466144	0.8094050	0.2978080	0.3022927	0.0019808	0.5604380	0.1926719	0.0325753	0.1132096	0.7330579	0.0381647	0.7035306	0.6203305	0.3171110	0.0071057	0.5025693	0.0324995	0.1389206	0.5611827	0.3193112	0.8124769	0.3246827	0.2472000	0.6081524	0.0881219	0.2722374	0.7200650	0.0295785	0.4830990	0.5290100	0.4657936	0.1307804	0.0159950	0.1767787	0.0495016	0.2792920	0.0095483	0.4405192	0.5729668	0.3347854	0.0180361	0.3175778	0.3265658	0.0123844	0.5956866	0.3635189	0.4228073	0.4397106	0.5488534	0.4990741	0.7242928	0.0635599	0.0301067	0.3728781	0.0997323	0.8173816
550	0.5737921	0.2092491	0.4419533	0.5872801	0.2582703	0.4000116	0.1968938	0.0983230	0.0738906	0.5025034	0.6084792	0.0293284	0.3621050	0.6106167	0.1570593	0.4456804	0.3719313	0.6371717	0.4009461	0.6441745	0.5466956	0.6495862	0.5678994	0.5676873	0.0057613	0.0728059	0.5760106	0.1338689	0.8063218	0.5550388	0.6751256	0.2733514	0.3104206	0.0249786	0.0683009	0.3046894	0.5514417	0.1921886	0.6979063	0.4255332	0.6686058	0.3032770	0.5590024	0.0019261	0.1729046	0.0890071	0.0645715	0.3883873	0.3605896	0.5743266	0.3597544	0.6113024	0.6915191	0.0853250	0.3763921	0.6556572	0.1141773	0.6640204	0.1861862	0.5546688	0.1311115	0.0115393	0.1224975	0.0082756	0.3170478	0.0112610	0.3513085	0.4603701	0.3669001	0.3875436	0.2987782	0.2360063	0.0161698	0.4491750	0.3343262	0.4172094	0.6245856	0.6692215	0.4725182	0.5335120	0.0263282	0.1686339	0.1669089	0.4553787	0.7733507
600	0.6014059	0.1733284	0.4704910	0.5781972	0.1938429	0.3610926	0.2308064	0.0317063	0.0250856	0.4757162	0.5588364	0.0987782	0.4008033	0.6575740	0.1486514	0.5039952	0.4210962	0.6918294	0.3849822	0.7024339	0.5360767	0.5838465	0.6013311	0.5114714	0.0120826	0.0896131	0.4476327	0.1305189	0.7048869	0.5494963	0.5206730	0.2113522	0.2082667	0.2070278	0.0856733	0.2752801	0.5382055	0.1679082	0.5178240	0.3560734	0.5320320	0.2241664	0.3662065	0.0131526	0.0663605	0.2543177	0.0460227	0.3984652	0.3814921	0.5664649	0.3107299	0.5547875	0.6791668	0.0608458	0.5102362	0.6729438	0.2771416	0.6856218	0.1150736	0.5513737	0.1855340	0.0158407	0.2345681	0.0289826	0.3249833	0.0168650	0.4347788	0.4104948	0.3984969	0.6118161	0.2455795	0.1793327	0.0237301	0.4641296	0.4186022	0.3814110	0.5211817	0.7428798	0.5318087	0.5443180	0.0665618	0.2858480	0.0831863	0.5618101	0.6162606
650	0.6475340	0.1335082	0.5481431	0.4079503	0.1711929	0.2597366	0.1928466	0.0223671	0.0227347	0.4848378	0.7431777	0.0543442	0.4469098	0.6911893	0.0728405	0.5212069	0.4451120	0.6458195	0.4214132	0.6883576	0.5732564	0.5737044	0.3977238	0.5207079	0.0189333	0.1389617	0.3702386	0.2017751	0.6147830	0.6720426	0.5437582	0.1966331	0.1848425	0.2615319	0.0745328	0.2189433	0.5986528	0.1528465	0.4480827	0.2802952	0.5145593	0.1739157	0.2675473	0.0193636	0.0311488	0.3092494	0.0208165	0.3557911	0.4014638	0.6688048	0.3189223	0.6732980	0.6037248	0.0572795	0.5010875	0.6734269	0.3506503	0.5981239	0.0858617	0.5315412	0.2729826	0.0056691	0.3185132	0.0098480	0.3641556	0.0082160	0.4067329	0.4127775	0.2897637	0.5982461	0.3515813	0.2003464	0.0215056	0.4241742	0.3479118	0.4715343	0.6142626	0.7765555	0.6212777	0.6054335	0.0875445	0.2434697	0.0720441	0.5137807	0.6179480
700	0.5727623	0.1690666	0.4455698	0.4101638	0.1508481	0.3146197	0.3122485	0.0222397	0.0067069	0.4570977	0.6407372	0.0565923	0.3889999	0.6174500	0.0826164	0.4960297	0.3704030	0.5257984	0.4455519	0.7053945	0.4965343	0.6884495	0.4823081	0.5520519	0.0219715	0.1060491	0.4622926	0.2614945	0.7461727	0.5366747	0.3107220	0.1167634	0.1334732	0.3640924	0.0585243	0.3394140	0.5312447	0.1265034	0.3980679	0.3040075	0.6623705	0.1370008	0.3070261	0.0438629	0.0354884	0.4052351	0.0233786	0.3082583	0.3028546	0.6938289	0.3047069	0.5320912	0.5727350	0.0611901	0.6004594	0.6316180	0.3506616	0.5794968	0.0862785	0.4953818	0.3136672	0.0064755	0.2916300	0.0057103	0.3590812	0.0101674	0.3529304	0.3687941	0.2960707	0.7367928	0.2631686	0.2138700	0.0085716	0.4163171	0.4098667	0.4260639	0.5641745	0.5564793	0.5235462	0.5713234	0.1069036	0.3704204	0.0184945	0.6274145	0.7299288
750	0.6310112	0.1684396	0.4735588	0.3349486	0.1682913	0.2816577	0.2204198	0.0258664	0.0048314	0.3825376	0.5541260	0.0879519	0.4756016	0.7068300	0.0970435	0.4848985	0.2960160	0.6115050	0.3322534	0.6814361	0.5663800	0.7994722	0.5291494	0.5339498	0.0531711	0.1321676	0.5602161	0.1381272	0.6515498	0.5498890	0.3255571	0.1545411	0.1391020	0.3898415	0.0962113	0.2576297	0.5896261	0.1889235	0.3766561	0.2169714	0.6130188	0.1481785	0.2531899	0.0349568	0.0060528	0.3370914	0.0516957	0.3177725	0.3781772	0.5184306	0.3360425	0.6884579	0.6315132	0.0455719	0.6526769	0.7402060	0.3098193	0.5985837	0.0335334	0.5271869	0.3058928	0.0078939	0.2833277	0.0021337	0.4003663	0.0098678	0.4345518	0.2862176	0.4112857	0.5909085	0.2078123	0.2453369	0.0069021	0.3466454	0.3014150	0.5313644	0.4875653	0.6619159	0.4761376	0.6103858	0.0614659	0.3362668	0.0342901	0.5320595	0.6368799
800	0.6857148	0.1824559	0.5661362	0.3806256	0.1674269	0.2104429	0.1848179	0.0256752	0.0027190	0.3988754	0.8252047	0.1169002	0.4758095	0.6750829	0.0799034	0.4241715	0.3682769	0.5889025	0.4042997	0.7420959	0.5774808	0.6621621	0.4427318	0.5681621	0.0207491	0.1562875	0.5030083	0.2522792	0.6295369	0.7278557	0.2957521	0.1355907	0.1733312	0.5458597	0.1325437	0.2843761	0.5200166	0.1366647	0.3420479	0.3974262	0.5058677	0.1799274	0.2947122	0.0753736	0.0025055	0.3765645	0.0375418	0.4702532	0.3227819	0.6568953	0.3691122	0.7085209	0.6007146	0.0322266	0.6940854	0.5182017	0.3279271	0.7017538	0.0245415	0.5310298	0.3204911	0.0233541	0.3009592	0.0044436	0.4117930	0.0065637	0.4197618	0.4018043	0.3646780	0.6192604	0.1974637	0.2184034	0.0229056	0.4000080	0.3585902	0.5513407	0.5035329	0.7239815	0.3378855	0.5629437	0.0665974	0.3245965	0.0093989	0.6345382	0.6237971
850	0.6778357	0.1544271	0.7361662	0.3440455	0.1634163	0.2740965	0.2196826	0.0207602	0.0006101	0.3957391	0.6633494	0.0801904	0.3886544	0.6510102	0.0462597	0.4960837	0.3826041	0.6993467	0.4119752	0.6437218	0.5513721	0.6909372	0.4398054	0.5193839	0.0269637	0.1320687	0.5696073	0.1364200	0.6878745	0.6115728	0.1881332	0.0902738	0.1500889	0.5389929	0.1297431	0.2639905	0.6449728	0.1215062	0.2618441	0.4537680	0.5252786	0.2032076	0.3662211	0.0277485	0.0034733	0.3610430	0.0090785	0.3780287	0.3205734	0.5573443	0.3683263	0.7651004	0.6810762	0.0594609	0.6056292	0.5413847	0.3963803	0.6463491	0.0352318	0.5098800	0.2517225	0.0141931	0.3001823	0.0173601	0.4501081	0.0065464	0.3665622	0.3961844	0.3453599	0.7045165	0.2995239	0.2218734	0.0204473	0.3723566	0.3509008	0.4632948	0.5816109	0.7272633	0.4271661	0.6242697	0.1054909	0.3372930	0.0142750	0.6429547	0.6132035
900	0.5893938	0.1213325	0.4918250	0.3021239	0.1919457	0.2203018	0.2265209	0.0342614	0.0022559	0.4863197	0.5665060	0.0944511	0.3866089	0.6637314	0.0988415	0.5527793	0.4094816	0.6081634	0.3842963	0.5770352	0.6562962	0.5568075	0.4107571	0.5151984	0.0073176	0.1517562	0.4233430	0.1745021	0.6017273	0.5813254	0.1046254	0.1592023	0.1632598	0.4762811	0.0523247	0.3416477	0.6621226	0.1775045	0.2502473	0.2545341	0.4742927	0.1950928	0.4472810	0.0726930	0.0021993	0.4049890	0.0226092	0.4077974	0.3652337	0.6304830	0.3255682	0.6787623	0.7244258	0.0392901	0.5223488	0.6703759	0.3521834	0.5714327	0.0535961	0.4631453	0.4053185	0.0077784	0.3139209	0.0059249	0.3054903	0.0096510	0.5159765	0.4080590	0.2994631	0.6564304	0.2153276	0.2259500	0.0180306	0.4144128	0.3425649	0.6558316	0.5904348	0.8242726	0.5042782	0.6412575	0.0957136	0.2547875	0.0072179	0.7096852	0.7384685
950	0.6779386	0.1327572	0.5659439	0.2553381	0.1317266	0.2763335	0.2392591	0.0135479	0.0008486	0.3594738	0.5760513	0.0612228	0.3003369	0.6829761	0.0926024	0.4341986	0.3844686	0.7281356	0.3852563	0.7137593	0.6269264	0.6572160	0.4607082	0.5592387	0.0243724	0.0936561	0.3887706	0.1877523	0.7094988	0.6551682	0.1886816	0.1137909	0.1329533	0.4966315	0.0840694	0.4026897	0.7130496	0.1833609	0.3295381	0.2660168	0.6719758	0.0953334	0.3558208	0.0296658	0.0007146	0.3729016	0.0243284	0.4783991	0.3605707	0.6153518	0.4068877	0.7234028	0.5774865	0.0743091	0.5300256	0.7181219	0.3315542	0.6968243	0.0624478	0.5211526	0.3381713	0.0006237	0.2983849	0.0073735	0.3380710	0.0028431	0.3695486	0.3929208	0.3261970	0.5751132	0.1896080	0.1809583	0.0102500	0.4086158	0.3294854	0.5415519	0.5261646	0.7760140	0.5470458	0.5967044	0.0665931	0.2584234	0.0172732	0.7669033	0.7293250
