"Time"	G1	G3	G5	G22	G7	G8	G4	G83	G6	G87	G86	G88	G54	G85	G89

0	0.7197074	0.4489643	0.1686424	0.6342718	0.1358856	0.2509574	0.4840499	0.6210783	0.1204935	0.2396032	0.1205819	0.4271097	0.7164637	0.0833733	0.0849046
50	0.7152776	0.3972379	0.1039744	0.1356164	0.1549350	0.2473008	0.3569272	0.2703661	0.1048611	0.3300897	0.1335978	0.4019229	0.6304403	0.1151130	0.0741275
100	0.6840064	0.3948059	0.1679768	0.0273327	0.1235404	0.2736557	0.3724777	0.2062355	0.0724016	0.2382421	0.1134791	0.4783951	0.6241884	0.0934719	0.0491659
150	0.7498237	0.4104380	0.1565919	0.0201170	0.1460951	0.2814258	0.4231704	0.1828738	0.1045677	0.1954593	0.1016555	0.4107626	0.8127443	0.0675999	0.0585035
200	0.6708909	0.3962034	0.2239075	0.0331188	0.1110676	0.2124262	0.3676662	0.2109065	0.1184472	0.3066306	0.1236005	0.4401102	0.6394992	0.1107118	0.0682936
250	0.7395654	0.4792174	0.1304522	0.0218120	0.1218287	0.1951802	0.3389563	0.1710000	0.1081724	0.3189960	0.1907488	0.4260626	0.7080269	0.0873876	0.0576797
300	0.6933502	0.4773506	0.1311092	0.0143831	0.0925044	0.2882066	0.4117964	0.1517135	0.0996858	0.3616908	0.1455517	0.3705110	0.6595625	0.0677920	0.0633144
350	0.7074738	0.4546553	0.2202883	0.0161984	0.1240711	0.2505819	0.3741973	0.1643113	0.1238996	0.2608380	0.1189424	0.5114914	0.6958309	0.0648735	0.1101607
400	0.6301102	0.4230480	0.1851039	0.0536845	0.1522893	0.2493771	0.3765162	0.1923491	0.1067175	0.2318617	0.1121732	0.3621122	0.7098962	0.1315891	0.0626397
450	0.6923072	0.4926487	0.1778984	0.0161095	0.1157432	0.2888917	0.4126168	0.2405140	0.1195392	0.2609084	0.1464587	0.3960255	0.6389583	0.0518634	0.0790343
500	0.6111845	0.5347039	0.1976514	0.0076730	0.1457649	0.2489978	0.3824406	0.2146875	0.1213599	0.3257853	0.1007488	0.4279673	0.8046235	0.0545519	0.0804640
550	0.7408218	0.5473739	0.3366349	0.6309822	0.1166975	0.2028712	0.4126124	0.6240539	0.1547851	0.3398657	0.1309994	0.4884535	0.6410979	0.0599265	0.0742431
600	0.7296227	0.4545660	0.2388108	0.7560635	0.0893934	0.2640225	0.4399350	0.7461771	0.1425878	0.2806059	0.1164342	0.5071840	0.7029978	0.0802500	0.0586580
650	0.8284539	0.4720712	0.2080286	0.7757543	0.1007054	0.2865996	0.4814359	0.7231179	0.1259590	0.2943035	0.1135377	0.3742791	0.7267369	0.1186978	0.0841963
700	0.6878649	0.5704721	0.1483755	0.7496129	0.1003786	0.2073812	0.4489596	0.9118725	0.0843924	0.3674536	0.1366380	0.4870246	0.7566615	0.0836146	0.1041467
750	0.7926753	0.4511935	0.2075278	0.6465999	0.0873443	0.2683163	0.4226122	0.7315310	0.1253820	0.2714495	0.2472910	0.4397657	0.7261733	0.0771948	0.0704984
800	0.6838447	0.4094991	0.1430196	0.8304292	0.1224334	0.2563807	0.4125304	0.6806539	0.1417690	0.2538435	0.1148776	0.3985701	0.8465424	0.0945115	0.0569421
850	0.6830190	0.3413231	0.1478507	0.6029837	0.0912350	0.2501031	0.4709839	0.8774228	0.0944549	0.2772736	0.2193969	0.3768427	0.7662238	0.0595478	0.0516849
900	0.6757354	0.3513226	0.1691581	0.6534841	0.1103726	0.2984413	0.4049423	0.6634813	0.1303160	0.2557083	0.1000093	0.3566728	0.7424269	0.0675092	0.0407004
950	0.7682935	0.5480326	0.1959994	0.6294816	0.1089970	0.2135286	0.3791350	0.7240802	0.1138216	0.2319405	0.1440890	0.3879505	0.7313349	0.1335653	0.0870531
1000	0.8160647	0.4145192	0.1447656	0.7925896	0.1023923	0.1712555	0.3689673	0.5912504	0.1092224	0.3221600	0.1847225	0.3051198	0.6419661	0.1221693	0.0343370

0	0.7556393	0.4831231	0.1999997	0.7012099	0.1044642	0.3315047	0.4524480	0.8314656	0.1798282	0.2840404	0.1537730	0.3740683	0.7385631	0.1420827	0.0708199
50	0.7404243	0.4651983	0.2360825	0.7081923	0.1672769	0.1878666	0.4617023	0.1875866	0.0795702	0.2111304	0.0827838	0.3507407	0.6089981	0.1017689	0.0621300
100	0.6003454	0.4536884	0.2014229	0.7384897	0.0666593	0.1275657	0.5094629	0.1878453	0.0130027	0.1711086	0.0778442	0.4706531	0.7666515	0.0639248	0.0759504
150	0.6186755	0.4181692	0.2729482	0.6924669	0.1518391	0.1536595	0.3800247	0.1459419	0.0038289	0.2989467	0.0964548	0.4472879	0.7044564	0.0289370	0.0358792
200	0.6412463	0.4019959	0.1989898	0.7737778	0.1387659	0.1628232	0.3852478	0.0677464	0.0059441	0.2882550	0.0332678	0.4129756	0.6394374	0.0601920	0.0613524
250	0.6059073	0.4606232	0.1716279	0.8700516	0.1404095	0.1874194	0.3731085	0.1187331	0.0042206	0.2765876	0.0588389	0.5005365	0.8558501	0.0725567	0.0441330
300	0.7372863	0.4570750	0.1535038	0.7705319	0.1380933	0.1719395	0.3968834	0.1816187	0.0051562	0.3079345	0.0901252	0.4496315	0.6643811	0.0418326	0.0430876
350	0.7641934	0.5004697	0.1844223	0.7660955	0.0776544	0.1300521	0.4282264	0.1302576	0.0003451	0.2822473	0.0621811	0.3938868	0.7865908	0.0508226	0.0438132
400	0.7578610	0.4137689	0.1812622	0.7140926	0.0961126	0.1305987	0.4384037	0.1019924	0.0036315	0.2368119	0.0504806	0.4668867	0.7778861	0.0471998	0.0636649
450	0.7125207	0.4761455	0.2719357	0.7119199	0.1095964	0.1923476	0.3683956	0.1801296	0.0020952	0.3170690	0.0860371	0.4428595	0.7588779	0.0326589	0.0401897
500	0.7689691	0.5072234	0.2098547	0.6107059	0.1268058	0.1744588	0.3598550	0.1694021	0.0003115	0.2671067	0.0799888	0.4723757	0.8900445	0.0560483	0.0142431
550	0.8004043	0.3362243	0.1724429	0.9127184	0.1239969	0.3231447	0.3969792	0.5508595	0.0903014	0.3171249	0.0952809	0.4105263	0.6544122	0.0902918	0.0272128
600	0.6615638	0.3955447	0.1171688	0.7141530	0.1240799	0.3205963	0.4744723	0.6841523	0.0982671	0.2996539	0.0922377	0.3831442	0.7072910	0.0643403	0.0269234
650	0.7113009	0.4493932	0.1088638	0.6815296	0.1608001	0.3443686	0.4555851	0.7494614	0.1037600	0.2398982	0.0967209	0.4563041	0.6435946	0.0599792	0.1097560
700	0.7687912	0.3600026	0.2306733	0.7207084	0.1093777	0.2511774	0.3727555	0.6414303	0.0886097	0.2540662	0.1175447	0.5194287	0.7409472	0.0785996	0.0753657
750	0.8032858	0.3911744	0.2040076	0.7952580	0.0965220	0.2769630	0.3667302	0.7351071	0.1122410	0.2575856	0.1461740	0.4110294	0.7259021	0.0669221	0.0627194
800	0.7641879	0.4889837	0.1729019	0.8167880	0.0781473	0.2085179	0.5049341	0.6428115	0.1253391	0.2334757	0.1268137	0.5435766	0.7473905	0.1475369	0.0684009
850	0.7116519	0.5310490	0.1553822	0.7160172	0.1090214	0.2444687	0.4328247	0.6893603	0.1280374	0.2477459	0.1439979	0.4738333	0.6253114	0.0548663	0.0859384
900	0.8442082	0.3894005	0.1445719	0.6437433	0.1027069	0.1856724	0.5414589	0.6530912	0.0810271	0.2779468	0.1439809	0.4327317	0.8016672	0.0721701	0.0553587
950	0.7577901	0.5104394	0.0865902	0.6946950	0.0886828	0.2621137	0.4513159	0.9132363	0.1287920	0.3246880	0.1513462	0.4995596	0.7446283	0.0652560	0.0995527
1000	0.7507653	0.5477691	0.2123838	0.7334554	0.1064236	0.2497868	0.4426233	0.7459952	0.1383522	0.2751679	0.1067911	0.4039660	0.7254871	0.0702954	0.0550867

0	0.7505834	0.4772377	0.2140798	0.5960992	0.1001230	0.2540340	0.5485748	0.6552552	0.1049610	0.2694366	0.1591079	0.4329846	0.7187150	0.0552154	0.0957155
50	0.7125975	0.3533299	0.1358033	0.6892066	0.1263985	0.2825014	0.5360922	0.8096932	0.1215324	0.2338609	0.0844496	0.3503078	0.6480771	0.0790099	0.1268520
100	0.6723441	0.3818886	0.1814291	0.6763595	0.1139053	0.3218917	0.5779315	0.7243970	0.0890140	0.3144754	0.0890138	0.3948064	0.7192575	0.0884141	0.0774599
150	0.7805460	0.3746481	0.1714671	0.7319950	0.1715714	0.2741475	0.4862185	0.7313012	0.0745503	0.2751970	0.0774227	0.3946270	0.7862409	0.0879319	0.0902708
200	0.5740753	0.3525635	0.1569975	0.7647356	0.1127560	0.2001677	0.5823189	0.7348823	0.1352353	0.3405302	0.1080532	0.3187925	0.6881315	0.1040198	0.1100933
250	0.6817471	0.4173912	0.1749178	0.7691488	0.1194302	0.2791285	0.5863317	0.7152504	0.1658568	0.3106941	0.0764172	0.4093144	0.6575151	0.0688745	0.0638152
300	0.7352986	0.4148483	0.1694719	0.7633651	0.0810320	0.2498201	0.5884145	0.8411255	0.0610546	0.2402950	0.0975786	0.4311628	0.6830848	0.1122353	0.1108976
350	0.7379444	0.4385515	0.2268734	0.7016977	0.1057417	0.2579630	0.5634249	0.6136975	0.1087100	0.2397309	0.0727955	0.4137919	0.7697011	0.0829943	0.0554091
400	0.7730157	0.4776994	0.1459858	0.6802973	0.1041072	0.2641669	0.5085152	0.7097670	0.1196108	0.2810508	0.0779564	0.3959478	0.6981032	0.0930486	0.0750355
