"Time"	G1	G3	G8	G5	G22	G4	G83	G7	G6	G87

0	0.6052157	0.4307752	0.2358138	0.1093443	0.6569004	0.6206356	0.3785835	0.0566474	0.0134441	0.0225571
50	0.4394855	0.4753350	0.0317492	0.0684413	0.6544738	0.6089108	0.2562826	0.0879453	0.0142454	0.0258306
100	0.4240659	0.3276026	0.0033403	0.1287886	0.8536760	0.5883442	0.3115693	0.0683624	0.0201785	0.0227974
150	0.3840444	0.4123393	0.0006673	0.1551849	0.5984013	0.5577635	0.2763962	0.0757383	0.0224952	0.0181023
200	0.3929569	0.3711913	0.0015532	0.2366028	0.6562340	0.4138794	0.2442009	0.0422166	0.0285161	0.0199159
250	0.4028744	0.3159223	0.0000134	0.3451151	0.7345136	0.3692517	0.3140435	0.0544823	0.0309231	0.0233476
300	0.4333065	0.2767468	0.0000000	0.2877922	0.8588224	0.3368580	0.3369423	0.0543047	0.0193742	0.0261859
350	0.4446794	0.3263659	0.0020043	0.2400091	0.6376535	0.3443933	0.3754134	0.0941875	0.0184507	0.0236171
400	0.2877933	0.4657064	0.0005093	0.2955837	0.6266165	0.3399910	0.3076086	0.0567586	0.0200459	0.0324105
450	0.3283999	0.2996820	0.0002952	0.2347521	0.6829716	0.3672331	0.3559273	0.0584956	0.0249514	0.0187293
500	0.3308118	0.2728164	0.0007010	0.2694770	0.7656101	0.3092720	0.3701466	0.0476074	0.0350390	0.0283702
550	0.4654386	0.2542383	0.1836473	0.3339704	0.6367467	0.2866614	0.3647728	0.0719916	0.0339206	0.0404534
600	0.7426267	0.3073187	0.1486347	0.1465484	0.6728704	0.5636135	0.3022393	0.0442837	0.0340315	0.0264418
650	0.5340549	0.3878793	0.2221285	0.1335221	0.5724930	0.5456937	0.2761949	0.0267687	0.0476813	0.0249557
700	0.7066277	0.4532489	0.1529478	0.1400176	0.6221456	0.4644658	0.2741904	0.0567788	0.0098319	0.0375891
750	0.6215176	0.3775411	0.1986955	0.0994550	0.7080365	0.5342887	0.3178554	0.0619193	0.0047401	0.0613881
800	0.5962774	0.4699961	0.1462750	0.1293444	0.7032131	0.6160650	0.3192206	0.0560817	0.0203685	0.0247117
850	0.5946071	0.3903386	0.1655881	0.0677931	0.6650595	0.5148265	0.2596640	0.0480577	0.0162151	0.0536908
900	0.6923088	0.3337390	0.1769488	0.1027322	0.7090128	0.6113733	0.2035018	0.0646040	0.0080351	0.0257408
950	0.7687194	0.4657224	0.1734800	0.0807786	0.6489193	0.5216484	0.2867863	0.0423086	0.0172346	0.0174676
1000	0.6542438	0.4173941	0.1474455	0.1321340	0.6401985	0.5194179	0.2827992	0.0662709	0.0125900	0.0361211

0	0.5769949	0.5029117	0.1961760	0.0888053	0.6447003	0.5825942	0.2853054	0.0531381	0.0506829	0.0161398
50	0.7151357	0.4234114	0.1368416	0.0690677	0.7823822	0.5676119	0.2326928	0.1072570	0.0101062	0.0196677
100	0.6437769	0.4196716	0.1441008	0.1153449	0.7172317	0.7004597	0.3649489	0.0617288	0.0013444	0.0452321
150	0.6861572	0.3051324	0.1164027	0.1097851	0.5951574	0.7026679	0.3110689	0.0679083	0.0011617	0.0382127
200	0.8294157	0.4653336	0.1424631	0.0936728	0.7674761	0.8167505	0.2809620	0.0621794	0.0016021	0.0378800
250	0.6999706	0.3925714	0.1126559	0.1146164	0.7769485	0.5518127	0.3128625	0.0468620	0.0019108	0.0471878
300	0.6002451	0.4072718	0.2159217	0.0783867	0.7500680	0.6673390	0.3145216	0.0473756	0.0002659	0.0417968
350	0.6982501	0.4464428	0.1558935	0.0842067	0.7778419	0.6510567	0.3093207	0.0730282	0.0000964	0.0089595
400	0.6684465	0.3840098	0.2140014	0.0961528	0.7053525	0.6259476	0.4088097	0.0703883	0.0007503	0.0596993
450	0.6084356	0.3931307	0.1764269	0.1163807	0.8568333	0.5775618	0.3849488	0.0903572	0.0006619	0.0311224
500	0.6883539	0.5197059	0.1336257	0.0950057	0.6537475	0.5597283	0.2872525	0.0475501	0.0076598	0.0360150
550	0.6711682	0.4161854	0.2028394	0.1019963	0.6409105	0.6699559	0.3945324	0.0691299	0.0173333	0.0516029
600	0.5569668	0.4089873	0.1918196	0.1356051	0.6486253	0.6047015	0.2995067	0.0780663	0.0400842	0.0275497
650	0.6564629	0.3246781	0.2188689	0.1287096	0.5601851	0.4880953	0.4144678	0.0626003	0.0117234	0.0386053
700	0.6253975	0.3510570	0.1969350	0.1288319	0.5633005	0.5445431	0.3209247	0.0588894	0.0274947	0.0109947
750	0.7128878	0.3691643	0.1833600	0.1443417	0.8199673	0.6066409	0.2774412	0.0375618	0.0192366	0.0209405
800	0.7477183	0.4254799	0.1870630	0.0607825	0.6384026	0.6948760	0.3324616	0.0414901	0.0205637	0.0343872
850	0.6548225	0.3460512	0.2004178	0.0882668	0.6762397	0.5344925	0.3723833	0.0569398	0.0322808	0.0353595
900	0.6019534	0.3433965	0.1657443	0.0891442	0.4717525	0.6716524	0.2596370	0.0527605	0.0102142	0.0239593
950	0.6216740	0.3891780	0.2244731	0.0974306	0.7127154	0.6532867	0.3640526	0.0517010	0.0447064	0.0311011
1000	0.6693569	0.3818665	0.1591809	0.1034840	0.6616683	0.6124877	0.3101073	0.0429523	0.0127294	0.0069741

0	0.5933449	0.4659123	0.1961247	0.1321586	0.7028018	0.6567759	0.2924308	0.0589728	0.0318825	0.0371654
50	0.7065734	0.3720263	0.1638513	0.0856265	0.4630606	0.7649572	0.3066823	0.0275567	0.0037009	0.0279997
100	0.6048201	0.4279444	0.1783111	0.1202878	0.3841601	0.6619356	0.2952542	0.0153161	0.0059749	0.0250880
150	0.7077158	0.3608474	0.1825918	0.0940320	0.4506366	0.6367268	0.2467188	0.0071329	0.0032564	0.0347829
200	0.6666832	0.3769883	0.2438390	0.1431808	0.4686888	0.5992619	0.3573829	0.0010732	0.0002780	0.0477543
250	0.6163502	0.4813205	0.1648343	0.1205204	0.4711866	0.7373677	0.3835147	0.0003911	0.0004069	0.0465622
300	0.7412495	0.4577227	0.1513426	0.1143512	0.4756674	0.6242685	0.3456778	0.0000297	0.0026874	0.0538999
350	0.5766043	0.4061934	0.1781112	0.0895664	0.4540743	0.6139528	0.3649880	0.0000913	0.0012244	0.0169734
400	0.6784032	0.5025831	0.1560110	0.1251443	0.4760694	0.5960599	0.2806219	0.0001341	0.0000000	0.0167101
450	0.6374311	0.3767281	0.1405717	0.1034776	0.4339320	0.6559973	0.3480732	0.0002099	0.0013631	0.0397883
500	0.7431543	0.4697313	0.2187442	0.1141430	0.3933081	0.6297718	0.2774455	0.0002621	0.0007570	0.0259372
550	0.6511011	0.4530940	0.1453637	0.1548759	0.6007363	0.6432365	0.2147009	0.0292671	0.0063605	0.0492509
600	0.6753201	0.4174874	0.1871977	0.1286750	0.7099577	0.6209140	0.3707075	0.0262167	0.0218635	0.0256452
650	0.8598482	0.3508816	0.2099165	0.1442381	0.6617572	0.7572279	0.4064812	0.0394111	0.0123231	0.0335878
700	0.6763396	0.4302464	0.1615719	0.1106184	0.6027143	0.7134135	0.3069063	0.0651210	0.0258046	0.0264003
750	0.5499895	0.3552843	0.1840594	0.0990024	0.6553242	0.6063506	0.3676674	0.0574975	0.0274806	0.0223229
800	0.6073690	0.4310217	0.2095119	0.0867050	0.7967345	0.6243139	0.3117555	0.0978285	0.0220547	0.0262013
850	0.7118109	0.4563773	0.1935968	0.0960990	0.6562573	0.5955162	0.3314509	0.0627285	0.0126936	0.0354303
900	0.6622724	0.4362911	0.1549515	0.1413233	0.6657723	0.6080946	0.2436816	0.0292646	0.0385162	0.0246936
950	0.8068878	0.4248503	0.1336703	0.0924800	0.7857177	0.6736296	0.3248908	0.0456400	0.0377435	0.0342051
1000	0.6016826	0.3917793	0.1684266	0.1103099	0.8527806	0.6949461	0.3191553	0.0611156	0.0106944	0.0179277

0	0.7090535	0.4413216	0.2749799	0.0996536	0.6508139	0.6654602	0.2523892	0.0327668	0.0333086	0.0393023
50	0.5362816	0.3707695	0.1941921	0.1376957	0.5505588	0.5909357	0.2895272	0.0289827	0.0074913	0.2674626
100	0.7027772	0.3785458	0.2032561	0.1117808	0.4988682	0.5321054	0.2940086	0.0570907	0.0030126	0.4057160
150	0.7824812	0.3695999	0.1289429	0.1318588	0.6747902	0.5578559	0.2573797	0.0763330	0.0045893	0.4383277
200	0.6940153	0.4573659	0.1467356	0.1215376	0.7786836	0.5352004	0.3538868	0.0518866	0.0000665	0.3107222
250	0.6723756	0.5098268	0.1625069	0.0673434	0.6861211	0.6148109	0.2817540	0.0695880	0.0040442	0.4949572
300	0.7425078	0.4591263	0.1816721	0.1168152	0.6381994	0.5803092	0.3038887	0.0481752	0.0000980	0.4597072
350	0.6331619	0.4131322	0.1956837	0.1388115	0.6460905	0.7099063	0.2781367	0.0682181	0.0005444	0.4482065
400	0.7250836	0.4923749	0.2220195	0.1672710	0.5734029	0.7215622	0.3769133	0.0461456	0.0018300	0.5095936
450	0.5977179	0.3945094	0.2255604	0.1427181	0.5218890	0.6569952	0.3321495	0.0548663	0.0000000	0.4336075
500	0.7000931	0.4252072	0.1874448	0.1317651	0.6717200	0.6140729	0.4877202	0.0613712	0.0007103	0.4602086
550	0.7081230	0.4034164	0.2059246	0.1175272	0.6096100	0.6715816	0.2836285	0.0551145	0.0103397	0.1156715
600	0.6556149	0.3915351	0.1776327	0.1244792	0.6361631	0.6750386	0.3595410	0.0346760	0.0078802	0.0817251
650	0.6327922	0.4184537	0.1978569	0.1606123	0.6517250	0.6405049	0.2380289	0.0493806	0.0366887	0.0412664
700	0.6287390	0.4815857	0.1724615	0.1267527	0.6789289	0.7015594	0.2123761	0.0487437	0.0203949	0.0729608
750	0.7021639	0.3456506	0.1863875	0.1493627	0.6753460	0.5741647	0.2822987	0.0713779	0.0142748	0.0308621
800	0.5549108	0.3942434	0.2257156	0.1072922	0.6756627	0.5529583	0.3019041	0.0356652	0.0186306	0.0088963
850	0.7491235	0.4368126	0.1781075	0.0773797	0.7678740	0.6391992	0.3046865	0.0725628	0.0048943	0.0291754
900	0.6372359	0.4583911	0.1667962	0.0674891	0.7281427	0.6694471	0.2939079	0.0605057	0.0186091	0.0382425
950	0.6203328	0.4713188	0.1828974	0.1204386	0.6899719	0.7182401	0.3016494	0.0803143	0.0369738	0.0309253
1000	0.7686626	0.4306356	0.1465964	0.0667109	0.6980540	0.5708837	0.2820751	0.0689919	0.0146166	0.0393719

0	0.7138922	0.5073406	0.2129101	0.0906228	0.6986304	0.6153965	0.2883063	0.0712396	0.0220398	0.0265536
50	0.6707413	0.3341061	0.0245175	0.1070081	0.3293198	0.6431989	0.3223517	0.0636499	0.0170594	0.0290798
100	0.6580197	0.4383267	0.0112672	0.0999786	0.2592156	0.7064064	0.3276519	0.0911706	0.0108693	0.0296156
150	0.6331976	0.3310085	0.0118186	0.1764044	0.2076211	0.7460754	0.2547533	0.0616324	0.0290060	0.0224857
200	0.6894916	0.3999182	0.0011830	0.2322996	0.1642896	0.8515001	0.3438029	0.0676849	0.0136714	0.0381510
250	0.6718543	0.4572403	0.0044986	0.1842613	0.1507223	0.6574047	0.3106451	0.0593910	0.0178287	0.0307190
300	0.6372162	0.3657985	0.0008695	0.1893511	0.2105168	0.6976913	0.2797936	0.0735472	0.0078851	0.0528006
350	0.6827926	0.3398021	0.0002784	0.2089847	0.1597361	0.7044698	0.2913768	0.0658625	0.0101306	0.0322816
400	0.6541855	0.3127267	0.0007272	0.1606741	0.1686843	0.6282703	0.3648338	0.0511447	0.0377526	0.0205875
450	0.7204724	0.4253238	0.0001629	0.1674341	0.1758824	0.6174282	0.2643810	0.0426509	0.0143191	0.0450022
500	0.7051019	0.4424917	0.0000000	0.1852267	0.1784327	0.6794516	0.2082609	0.1230673	0.0148567	0.0576347
550	0.6092114	0.3933935	0.1241697	0.1368134	0.5394584	0.5912748	0.2812030	0.0723906	0.0152793	0.0309194
600	0.6445347	0.4649248	0.1288181	0.1576588	0.5344484	0.6214764	0.3048005	0.0675024	0.0144214	0.0101596
650	0.7448444	0.3980030	0.1643720	0.1483543	0.7480149	0.5194753	0.3482716	0.0612326	0.0229895	0.0669814
700	0.6274201	0.4161582	0.1722716	0.1232332	0.7578634	0.7083203	0.3112099	0.0368013	0.0207992	0.0394885
750	0.6831435	0.4932974	0.1191303	0.0993668	0.6569374	0.6714802	0.3612685	0.0461102	0.0270979	0.0402039
800	0.7307161	0.4448612	0.1410526	0.1332719	0.7669965	0.6710825	0.3707159	0.0677008	0.0304920	0.0206733
850	0.7150359	0.3608523	0.1191461	0.1080345	0.7473815	0.5838943	0.3223291	0.0688918	0.0298314	0.0310585
900	0.7337458	0.4246611	0.1608215	0.0894903	0.8217221	0.6556513	0.3116204	0.0436959	0.0607240	0.0178856
950	0.5840084	0.3900893	0.1618253	0.0563556	0.6124477	0.6854047	0.3302621	0.0684785	0.0183004	0.0249976
1000	0.7352959	0.3480288	0.1643845	0.0943931	0.8232079	0.7072467	0.3266606	0.0592696	0.0224767	0.0625464

0	0.7189621	0.5053963	0.1647907	0.0947856	0.8099339	0.6920593	0.3687453	0.0801263	0.0263217	0.0258490
50	0.6205856	0.5903205	0.0240657	0.0974261	0.7249722	0.7149341	0.2522753	0.1119596	0.0083302	0.0678097
100	0.3761498	0.5076262	0.0130366	0.1511130	0.7464448	0.6226170	0.3744029	0.0464833	0.0069261	0.0289412
150	0.4063073	0.4682018	0.0014697	0.1475376	0.6598261	0.5297211	0.3045766	0.0590086	0.0113356	0.0340091
200	0.4831905	0.4259043	0.0024544	0.1881053	0.7222367	0.4703192	0.3975011	0.0709031	0.0449932	0.0341279
250	0.2727141	0.4547075	0.0022570	0.2204628	0.6103625	0.4598763	0.2809029	0.0466927	0.0207508	0.0577311
300	0.3859399	0.4583938	0.0001143	0.2391663	0.6280726	0.3870294	0.3260098	0.0286641	0.0322459	0.0295851
350	0.3444674	0.4881116	0.0019145	0.2124806	0.7258929	0.4045514	0.3592676	0.0446793	0.0252876	0.0308718
400	0.3728625	0.3756834	0.0003272	0.2008361	0.5898317	0.3773807	0.2741511	0.0872737	0.0085782	0.0326593
450	0.3826982	0.4167938	0.0041078	0.2255738	0.6236687	0.3512402	0.3936329	0.0502485	0.0041948	0.0250207
500	0.4321912	0.4273352	0.0012284	0.2647732	0.6705513	0.4154539	0.3909455	0.0690791	0.0023952	0.0268413
550	0.5169028	0.3096900	0.0948186	0.2089929	0.5811109	0.3730309	0.3335680	0.0757426	0.0220787	0.0203261
600	0.6870274	0.3404341	0.1940198	0.1517099	0.7916535	0.5249976	0.2859415	0.0764638	0.0169158	0.0239620
