"Time"	G1	G3	G5	G7	G4	G22	G83	G8	G6	G86	G87	G85	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G82	G80	G19	G18	G20	G50	G58	G51	G31	G78	G93	G94	G95	G91	G90	G2	G69	G70	G84	G97	G43	G44

0	0.2684567	0.2644127	0.0299821	0.2724180	0.1390174	0.7285584	0.7663276	0.5128451	0.4892297	0.6264668	0.7302850	0.4745581	0.0370852	0.0277456	0.3857362	0.0722213	0.7294252	0.2052317	0.7029424	0.0602496	0.4293903	0.0744275	0.4887994	0.4766735	0.2788330	0.2289349	0.7086229	0.6637414	0.0348577	0.5877958	0.0040404	0.0626086	0.6978892	0.4383226	0.7176550	0.4959390	0.0090758	0.7023909	0.6365542	0.7059031	0.4884777	0.6493346	0.8386234	0.2745333	0.0713138
50	0.2259491	0.3466869	0.0106068	0.2613340	0.2308158	0.6721233	0.6281741	0.5403795	0.4439179	0.4225143	0.7211382	0.5237664	0.0060555	0.0206163	0.4285577	0.0242690	0.4014712	0.2388454	0.7048254	0.1204000	0.1696261	0.0383554	0.4673650	0.4710847	0.2608518	0.2172333	0.6978939	0.6245120	0.1581387	0.6577335	0.3301035	0.1119589	0.7100817	0.5354408	0.6512874	0.4200496	0.0079462	0.6972198	0.8311490	0.6980587	0.6153349	0.7202867	0.5894882	0.1743986	0.1540235
100	0.2799010	0.3651482	0.0242186	0.2702010	0.2322104	0.8210477	0.8036227	0.5547031	0.3976412	0.3865904	0.5967954	0.4458696	0.0384871	0.0384550	0.3739217	0.0017058	0.3234131	0.3078837	0.5648583	0.1985823	0.1430041	0.0624086	0.4355076	0.5419640	0.2458833	0.3870375	0.6555972	0.6697709	0.1790485	0.6956018	0.6123531	0.1460072	0.7134303	0.5837453	0.6178053	0.5378753	0.0172692	0.7441190	0.7019492	0.6743140	0.7212771	0.6523816	0.6901653	0.1881016	0.1212231
150	0.2725262	0.5384450	0.0156176	0.2692737	0.3599816	0.7366876	0.5911076	0.6155893	0.4159914	0.2983280	0.6490668	0.4055411	0.1187189	0.0211964	0.3284481	0.0018326	0.1970576	0.2816920	0.5278916	0.1597321	0.0727055	0.0611510	0.5319856	0.5054120	0.1906306	0.5952826	0.7169326	0.6562987	0.2802332	0.6998932	0.5191258	0.2918096	0.6482463	0.5527562	0.6423417	0.4618491	0.0117805	0.6735452	0.7400981	0.6929137	0.5753643	0.6402770	0.6647933	0.2510608	0.1245472
200	0.2677466	0.3755652	0.0120205	0.3325383	0.3509841	0.7812846	0.6596884	0.5772494	0.3958307	0.3724659	0.6548711	0.4868276	0.1634558	0.0781422	0.2086575	0.0041782	0.2692723	0.2733046	0.5609712	0.1964575	0.1777502	0.0320270	0.5022733	0.5250005	0.2501661	0.6131322	0.6251486	0.6467608	0.3561747	0.6997818	0.5922462	0.3294892	0.4926552	0.5595768	0.7375967	0.4974962	0.0249356	0.7882930	0.6923871	0.7891785	0.5846123	0.7113760	0.6693522	0.1985408	0.1149325
250	0.3271379	0.3044111	0.0248198	0.2838248	0.3880186	0.5851910	0.6020253	0.5204464	0.3116531	0.2967414	0.5460980	0.5168034	0.2297080	0.0358409	0.1415198	0.0068008	0.1964437	0.3253213	0.4392208	0.2751355	0.1185280	0.0578143	0.4483037	0.5664197	0.1660911	0.6221723	0.6322122	0.6783855	0.4948534	0.6118341	0.5358189	0.5349562	0.5195981	0.4823014	0.6441321	0.5854850	0.0155721	0.8344021	0.6961190	0.7647361	0.5598209	0.6237451	0.7109548	0.1917873	0.1420909
300	0.2643137	0.3158332	0.0057424	0.2279309	0.3024736	0.6275720	0.5695165	0.5044957	0.3764359	0.3849481	0.3735372	0.5261545	0.2169859	0.0165271	0.2166674	0.0142693	0.2574565	0.2504281	0.5221841	0.2980946	0.0946044	0.0633477	0.5674253	0.5717110	0.1927257	0.5169815	0.6272194	0.6777261	0.4510258	0.7150465	0.6833203	0.4567599	0.5028712	0.4898622	0.6064435	0.4012673	0.0179599	0.7866446	0.6059300	0.7154794	0.5863819	0.6031201	0.6792951	0.1875145	0.1473133
350	0.2152367	0.3267112	0.0207946	0.2759838	0.3305711	0.6510478	0.5005003	0.5769618	0.4251343	0.3042137	0.3109100	0.4870368	0.1727235	0.0670609	0.1416123	0.0197214	0.1984393	0.2069995	0.5074421	0.2920049	0.1276060	0.1021426	0.4835069	0.4998947	0.1475860	0.5591849	0.7211318	0.7057050	0.4963579	0.5995398	0.6024787	0.5411161	0.3562806	0.5216381	0.6406567	0.3559444	0.0385943	0.5226962	0.6746685	0.8126181	0.7177408	0.7826166	0.7239645	0.1611719	0.1810744
400	0.2550533	0.3352598	0.0184624	0.3235375	0.2848217	0.6891146	0.6363808	0.5162590	0.4780744	0.3462903	0.3709969	0.4005541	0.1462428	0.0255711	0.1534028	0.0091149	0.3038727	0.2267343	0.4268625	0.3426639	0.0705098	0.0798973	0.4489808	0.3681036	0.1958395	0.5495218	0.6876094	0.5935576	0.5409115	0.7374954	0.6293984	0.5470525	0.3630419	0.4167912	0.8611971	0.3582059	0.0113759	0.7368138	0.6788479	0.7549895	0.5800382	0.5601822	0.6964112	0.2079429	0.1132799
450	0.1865076	0.2844481	0.0147125	0.1960605	0.2796628	0.7682525	0.6316846	0.5827892	0.4099303	0.3172543	0.4264108	0.4363839	0.1341858	0.0466413	0.1369953	0.0098974	0.3066512	0.2093603	0.5352849	0.2092710	0.1574852	0.0552757	0.5226995	0.5194896	0.2206958	0.4685946	0.6970425	0.6518047	0.5088179	0.7119420	0.5492481	0.5882801	0.3380961	0.4036178	0.7909373	0.4090088	0.0152579	0.6373387	0.5791210	0.6989848	0.5952582	0.7829911	0.6586081	0.1653546	0.1021907
500	0.2100310	0.2753952	0.0137810	0.2315598	0.2272008	0.7613651	0.6543971	0.5724873	0.4811063	0.2776317	0.5800891	0.5394338	0.1841961	0.0520841	0.1009503	0.0066345	0.2665577	0.2050937	0.5769896	0.2766339	0.1325281	0.0512463	0.4077369	0.5476277	0.2113130	0.4208873	0.6569292	0.5079786	0.5498697	0.7119300	0.5379906	0.6065471	0.4005816	0.3996406	0.7186231	0.4364884	0.0225503	0.6854922	0.6132126	0.6783574	0.6080907	0.7434384	0.7246430	0.2264523	0.1253675
550	0.2340595	0.3337253	0.0033471	0.2432913	0.2503289	0.7275442	0.5628258	0.6718948	0.4326824	0.5769174	0.5775028	0.5023791	0.0747937	0.0191761	0.1457024	0.0472351	0.4982391	0.2429507	0.6342426	0.0879964	0.4197319	0.0499694	0.5587729	0.4239176	0.2568243	0.4947471	0.7423792	0.6946026	0.3087262	0.7775664	0.1849438	0.3887376	0.4817663	0.3730819	0.6254689	0.3573081	0.0075037	0.6453608	0.7149298	0.7715665	0.6634424	0.5520859	0.6132022	0.3136067	0.1002537
600	0.2591763	0.3442470	0.0409977	0.3023573	0.2232732	0.7222983	0.5957160	0.5199692	0.5271800	0.6132337	0.7442906	0.4097181	0.0199304	0.0234682	0.1639425	0.0872256	0.6625662	0.3123109	0.6684581	0.0639516	0.4571756	0.0267958	0.5089784	0.4459022	0.3101310	0.3658847	0.6535719	0.7048131	0.1953412	0.7861635	0.0924540	0.2037214	0.4832981	0.3484739	0.6624042	0.3711645	0.0120922	0.6110583	0.7197465	0.5927836	0.5310883	0.7679466	0.6652920	0.2040152	0.0841757
