"Time"	G1	G2	G10	G20	G4	G17	G16	G8	G9	G11	G56	G3	G5	G19	G13	G15	G14	G12	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G49	G39	G35	G44	G45	G47	G18	G94	G98	G95	G43	G48	G61	G57	G79	G60	G84	G81	G80	G83	G88	G82	G89	G85	G90	G91

0	0.4350886	0.5215602	0.5820773	0.4173569	0.2822207	0.3802490	0.0096711	0.2105299	0.0671907	0.3851224	0.4463629	0.0159659	0.3498802	0.0804847	0.6560690	0.1529475	0.2619308	0.1803987	0.0792980	0.6241744	0.2495564	0.7324246	0.2278736	0.4231337	0.7271320	0.5931599	0.4982774	0.4922762	0.0606468	0.2106718	0.2329645	0.5722238	0.3116864	0.2363992	0.4775038	0.5726713	0.7859604	0.7343478	0.6185815	0.2012711	0.4305827	0.0282607	0.7049924	0.4384808	0.3542902	0.7267918	0.7260480	0.5575804	0.0859486	0.0523489	0.6921764	0.5379136	0.0636573	0.1477250	0.6246992
50	0.5153325	0.4863678	0.7652051	0.4092724	0.3806507	0.4116683	0.0066426	0.1588996	0.0488685	0.4234242	0.4399687	0.0249516	0.3738225	0.3223651	0.2157751	0.1091210	0.1911308	0.2320785	0.0663329	0.6655970	0.2441488	0.5322157	0.2016913	0.4782976	0.6352548	0.6464151	0.5805122	0.2497623	0.0151651	0.2520996	0.1801137	0.5355802	0.3436510	0.2165971	0.4877496	0.5848021	0.8153849	0.7212166	0.5496990	0.5360701	0.2927625	0.1979772	0.6250442	0.2486413	0.2291687	0.7202473	0.7825746	0.5122812	0.0739164	0.0372800	0.6422758	0.5750255	0.0846261	0.1468198	0.5767699
100	0.5248702	0.3471590	0.5951109	0.3880289	0.3484905	0.3184967	0.0038785	0.1637660	0.0500414	0.4036137	0.5242920	0.0158467	0.3933101	0.4256203	0.1270722	0.0813413	0.1828266	0.2431335	0.0814495	0.7630928	0.3351336	0.4739706	0.2204636	0.4352941	0.7546049	0.6902929	0.5675226	0.2044515	0.0687743	0.2032532	0.1975229	0.5015123	0.2563737	0.2868862	0.5454357	0.5623847	0.6114486	0.6699018	0.4450967	0.6222555	0.2808361	0.2362096	0.5143610	0.3029370	0.3110854	0.6074941	0.5602627	0.5795628	0.0697890	0.0415446	0.7160290	0.5423289	0.0477097	0.0850511	0.6196683
150	0.4553733	0.3793932	0.5240930	0.4624615	0.3211247	0.3526364	0.0001845	0.1534439	0.0566694	0.3071176	0.5258049	0.0162054	0.3192443	0.4009946	0.0615215	0.1251281	0.1264876	0.2028316	0.0636586	0.7389974	0.3714313	0.5267732	0.2500738	0.5117681	0.6655366	0.5402528	0.6426175	0.1468093	0.0519411	0.2185580	0.2302717	0.5070466	0.2408803	0.1940954	0.4069766	0.6417427	0.8282382	0.7001352	0.4503271	0.6032470	0.2966671	0.2870441	0.4946645	0.2219394	0.2675536	0.6908512	0.5689964	0.6026015	0.0669924	0.0317727	0.7924062	0.4919343	0.0299836	0.1487213	0.5590372
200	0.3926247	0.3895454	0.5565129	0.3667961	0.2929087	0.3893952	0.0083964	0.1115160	0.0201538	0.3564342	0.5654795	0.0258686	0.4222216	0.3567721	0.0727908	0.0902405	0.1169886	0.1724076	0.0678165	0.6992564	0.2188729	0.4694244	0.2356093	0.4053296	0.6858273	0.5155803	0.5489777	0.1837359	0.0355416	0.1982417	0.2424335	0.3518045	0.1905879	0.1723124	0.4056500	0.5278145	0.6346923	0.6619255	0.4587912	0.5977273	0.3152219	0.2133888	0.4915801	0.2871789	0.3196768	0.6444250	0.5776566	0.7006471	0.0275343	0.0782360	0.8610737	0.5624239	0.0231082	0.2224672	0.5890224
250	0.4109811	0.4499101	0.6039344	0.2047729	0.3091288	0.3461240	0.0140021	0.1518000	0.0291723	0.5112066	0.5179703	0.0132728	0.5117885	0.4893465	0.0741938	0.0676086	0.0686531	0.1469816	0.0445629	0.6269996	0.2386554	0.5077059	0.2924114	0.3844019	0.7668994	0.5302455	0.6717351	0.2258250	0.0716781	0.1123035	0.1852292	0.5342407	0.2981270	0.1465604	0.6041266	0.5419593	0.5851025	0.6926652	0.3733416	0.7465320	0.3956589	0.1826464	0.4944482	0.1911563	0.3664988	0.8131393	0.6271210	0.9130269	0.0300332	0.0483585	0.8232190	0.6707341	0.0184241	0.2172085	0.6004148
300	0.5430426	0.4209863	0.6493264	0.3498660	0.3317807	0.4298317	0.0293231	0.1376404	0.0097395	0.2740980	0.3512219	0.0118495	0.3813875	0.2897397	0.0630587	0.0755608	0.0620532	0.1912465	0.0503792	0.7178705	0.2810341	0.5159871	0.2643600	0.3333950	0.7898445	0.6041161	0.6461126	0.2226103	0.0673023	0.0985349	0.2050937	0.6086829	0.3339760	0.1683375	0.4112783	0.5674389	0.7331521	0.8855087	0.4381604	0.6310102	0.2831553	0.1948737	0.5083689	0.1750726	0.2339397	0.6911339	0.5582235	0.8490074	0.0264734	0.0561122	0.6489185	0.7215630	0.0268238	0.1336352	0.5250185
350	0.4858057	0.3258402	0.5722487	0.6043984	0.3889373	0.3672072	0.0154358	0.1414507	0.0654861	0.2317476	0.5161540	0.0126754	0.3605542	0.3960942	0.0513327	0.0665564	0.0827289	0.1512007	0.0553331	0.6737990	0.3265800	0.5181368	0.2478312	0.4953320	0.7318935	0.5560361	0.6891301	0.1247404	0.0791190	0.1014099	0.2574012	0.5451535	0.2729744	0.1940249	0.4481029	0.5950958	0.9497089	0.8609357	0.5520208	0.6577336	0.3854311	0.2909526	0.6285153	0.1317527	0.3014230	0.7087516	0.4481139	0.7522172	0.0252084	0.0300488	0.8282486	0.7884455	0.0420021	0.1623751	0.6310873
400	0.4850164	0.3165420	0.6033679	0.3611441	0.3944143	0.4376378	0.0042815	0.0947214	0.0383477	0.2782001	0.5722261	0.0142201	0.2784881	0.3670264	0.0750884	0.0641646	0.0647600	0.0839954	0.0547454	0.6918129	0.2737711	0.4912294	0.2822719	0.3853625	0.6080071	0.5633071	0.7703460	0.2251004	0.0669658	0.0925062	0.2108611	0.6109972	0.2349498	0.1430116	0.5963558	0.5595404	0.7436715	0.6827046	0.5215921	0.5885556	0.3779938	0.3220053	0.6581526	0.1636102	0.3088212	0.6868661	0.4569358	0.7530315	0.0228444	0.0128981	0.6741750	0.6908841	0.0379157	0.1452256	0.6065218
450	0.4122974	0.4193466	0.5633941	0.3339179	0.3691254	0.3912148	0.0094822	0.0937984	0.0520073	0.3494150	0.5227277	0.0430627	0.3181718	0.3007598	0.0525618	0.1432143	0.0643905	0.2047625	0.0700736	0.7077213	0.2702536	0.4451953	0.1890338	0.4082208	0.7118094	0.5994262	0.7971209	0.1726037	0.0713061	0.0684605	0.1805004	0.6771526	0.1521148	0.0696498	0.4427229	0.6868289	0.6795664	0.8366510	0.5727182	0.7640112	0.3246836	0.3353808	0.6071445	0.1813610	0.3011765	0.7103733	0.4838168	0.8409372	0.0201620	0.0203806	0.8262662	0.6333966	0.0322986	0.1299839	0.5487463
500	0.4105139	0.3782092	0.5196277	0.4676999	0.3242046	0.3337242	0.0029507	0.0875964	0.0482312	0.2836499	0.4072221	0.0401861	0.4177641	0.4365963	0.0500115	0.0731619	0.0700869	0.1524528	0.0585297	0.9363777	0.3158608	0.5313376	0.2440678	0.5481689	0.6643272	0.5530816	0.7213478	0.2302329	0.1098537	0.0653685	0.1558314	0.4686871	0.2223332	0.0969407	0.4973267	0.5028161	0.7788708	0.7365229	0.5523969	0.6699481	0.2666203	0.2295079	0.5167344	0.2154158	0.2877051	0.6887804	0.4636299	0.8352598	0.0304562	0.0140183	0.7729760	0.5881381	0.0271482	0.1739566	0.5105044
550	0.2875155	0.4788912	0.6228015	0.3670588	0.3453227	0.3560870	0.0067472	0.1697956	0.0521059	0.3733254	0.5963562	0.0323130	0.3550437	0.1940408	0.4029107	0.1071645	0.1782973	0.1315204	0.0634781	0.7371031	0.3374583	0.5516888	0.2169280	0.4375933	0.7390252	0.5519770	0.7170570	0.4030486	0.0743851	0.0449035	0.1966835	0.5753905	0.2109008	0.1076673	0.3904965	0.6290404	0.7456640	0.5879307	0.5397878	0.3065255	0.2839339	0.0526120	0.5224358	0.4838342	0.3316748	0.5996866	0.6042938	0.8734293	0.0580471	0.0595184	0.7827637	0.5258014	0.0396821	0.2597287	0.5761199
600	0.6051516	0.3865715	0.4695372	0.2817229	0.3268198	0.4737927	0.0092442	0.2038932	0.0573680	0.4125186	0.4079382	0.0061065	0.4354276	0.0452130	0.4310476	0.1046963	0.1922885	0.1626673	0.0646570	0.7932547	0.2696501	0.6460157	0.2661737	0.4086277	0.7725204	0.6259779	0.6173888	0.3872268	0.0424903	0.0605450	0.2262282	0.6517451	0.2697422	0.2373514	0.3690408	0.4738958	0.9295981	0.6101110	0.4245131	0.2290206	0.4203096	0.0425531	0.5050627	0.3894084	0.2302936	0.5973682	0.5746328	0.6551752	0.0906169	0.0454384	0.6120263	0.4429715	0.0273610	0.1982411	0.6522378
650	0.4668744	0.4310726	0.6042784	0.3822077	0.3246073	0.3643818	0.0124733	0.1509616	0.0434906	0.3056114	0.3908040	0.0144948	0.5193365	0.0444949	0.5292477	0.0807045	0.2983028	0.1217096	0.0836377	0.7077525	0.2616681	0.6742921	0.2512534	0.4362702	0.5953198	0.5386736	0.5956640	0.3841516	0.0739802	0.1842090	0.2230193	0.6040854	0.2517746	0.2382234	0.4636182	0.5730716	0.7354113	0.7974023	0.5131901	0.2237641	0.2836743	0.0543533	0.6215735	0.3362894	0.2669341	0.5916147	0.7832418	0.6582456	0.1296882	0.0389574	0.6305115	0.5105677	0.0551593	0.2211076	0.6050072
700	0.4080412	0.4784828	0.5369106	0.4418378	0.4029506	0.2805224	0.0215763	0.2156776	0.0338952	0.2481998	0.4594899	0.0254964	0.4393602	0.0594958	0.6213306	0.0851798	0.2592771	0.2654992	0.0579581	0.7686864	0.3060376	0.8404992	0.1757209	0.4537783	0.7182220	0.5219811	0.7218748	0.5440393	0.0449489	0.1787080	0.2123887	0.4484217	0.3613428	0.2550908	0.3932820	0.6929460	0.7236138	0.7893962	0.4759748	0.2880880	0.2341497	0.0464068	0.6645395	0.3488977	0.3236165	0.6052206	0.7731304	0.7275012	0.0610868	0.0531628	0.6587712	0.4790104	0.0289352	0.1302993	0.6807217
