"Time"	G1	G3	G5	G7	G4	G22	G83	G8	G6	G86	G87	G85	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G82	G80	G19	G18	G20	G50	G58	G51	G31	G78	G93	G94	G95	G91	G90	G2	G69	G70	G84	G97	G43	G44

0	0.2928898	0.3406958	0.0132372	0.2555971	0.2449512	0.7501696	0.8031795	0.5389469	0.5617170	0.8024097	0.7130970	0.5547767	0.0069062	0.0188926	0.4487607	0.0531463	0.7917363	0.3198125	0.7459318	0.0672365	0.2942354	0.0361690	0.6597810	0.4578616	0.1698333	0.1959360	0.7813133	0.6549719	0.0225464	0.7676967	0.0037765	0.0769895	0.7450410	0.4525232	0.6766621	0.4570944	0.0275839	0.6412858	0.7481887	0.7196111	0.5939944	0.6765253	0.7607938	0.2701270	0.1505948
50	0.1834347	0.3029334	0.0254383	0.1437736	0.1515052	0.1552878	0.6815652	0.6300124	0.2547802	0.8403004	0.7145777	0.4324944	0.0063236	0.0137709	0.4713899	0.1232052	0.2599649	0.0797026	0.6072749	0.0887113	0.4201397	0.2164144	0.2898794	0.5113240	0.0701634	0.2044130	0.7618174	0.8013560	0.2766970	0.2393226	0.0587655	0.0671927	0.7668631	0.5706891	0.6628707	0.6857103	0.0128486	0.2529696	0.7688623	0.8279749	0.5695903	0.7117612	0.6206064	0.2623595	0.1453739
100	0.3027859	0.3452440	0.0731130	0.0922122	0.1896705	0.1399070	0.9000066	0.5676694	0.1338512	0.7323553	0.7833267	0.3224485	0.0000000	0.0288265	0.5109248	0.2973349	0.1386669	0.0611050	0.4941404	0.1769371	0.4023423	0.1598059	0.1235210	0.5615073	0.0334712	0.2997547	0.7639978	0.8602699	0.2356909	0.1168320	0.1159261	0.2134459	0.6215072	0.4540743	0.7233307	0.4644625	0.0769591	0.1287571	0.7195871	0.7308441	0.5975522	0.5779302	0.7288549	0.3308121	0.1009057
150	0.3280069	0.2977324	0.1546127	0.0808021	0.1688571	0.1830320	0.8986767	0.5966610	0.0680348	0.7115968	0.7028411	0.4033432	0.0009144	0.0185582	0.7401865	0.2781599	0.0820825	0.0500667	0.4468818	0.0808874	0.4626965	0.2229659	0.0343256	0.7454717	0.0419475	0.1753066	0.7100244	0.8094682	0.3609345	0.0869151	0.1401719	0.4103795	0.6741824	0.4051973	0.7787331	0.4273564	0.2372341	0.1386950	0.7699634	0.8257646	0.7154243	0.6608004	0.7783202	0.2666464	0.0653882
200	0.1937981	0.3843245	0.1265584	0.0390443	0.1035761	0.1047071	0.7536863	0.6846968	0.0828839	0.6890879	0.8065322	0.3167480	0.0000000	0.0470938	0.6951012	0.4369415	0.0572345	0.0806951	0.4457186	0.1235496	0.5963028	0.1629946	0.0175468	0.6789301	0.1322008	0.1176380	0.7515349	0.6501214	0.2674086	0.0722558	0.2003975	0.5549195	0.7857596	0.4734747	0.7187904	0.4209622	0.3190940	0.1455415	0.7204166	0.8531800	0.6963510	0.7378984	0.6416344	0.2653637	0.0961398
250	0.2741770	0.4038370	0.1622801	0.0776952	0.1722149	0.1715167	0.6193825	0.6187411	0.1240395	0.5720092	0.8011428	0.2910338	0.0001599	0.0386851	0.5300081	0.5324819	0.0668733	0.0450476	0.4562409	0.1060040	0.5556323	0.1842783	0.0069531	0.7879801	0.0858063	0.0701072	0.7969245	0.6842777	0.3603898	0.1045814	0.1478872	0.7430354	0.6300717	0.4666520	0.7328448	0.4864142	0.3511566	0.1167296	0.6532239	0.7106304	0.6584054	0.6183751	0.7078920	0.3534745	0.1170967
300	0.2157838	0.3890095	0.1134694	0.0443179	0.1533705	0.0839869	0.8228090	0.6515784	0.1037486	0.6641743	0.7169096	0.2834445	0.0018697	0.0270434	0.7268634	0.5488408	0.0763094	0.1039342	0.4396570	0.0634418	0.7519250	0.2012997	0.0036447	0.7807064	0.1042801	0.1049404	0.7247601	0.7621371	0.3026754	0.1061497	0.1630210	0.7127957	0.7962546	0.3897456	0.6656714	0.5288102	0.4338366	0.1330274	0.8200696	0.6806663	0.6496323	0.6809148	0.7230549	0.2619229	0.1336682
350	0.2796933	0.2165873	0.1759947	0.0684732	0.2923781	0.1167672	0.6672813	0.6034588	0.1034445	0.6180223	0.7937950	0.2778136	0.0004838	0.0301435	0.7029450	0.5842688	0.0868672	0.1225519	0.4433661	0.0854980	0.6876783	0.1695378	0.0065582	0.7520281	0.0885059	0.0950751	0.6553228	0.7783631	0.3014507	0.0879835	0.1570278	0.6922500	0.7485398	0.4380291	0.7061907	0.4918107	0.4688851	0.1222698	0.7138008	0.5525845	0.6457622	0.6322106	0.8200925	0.2832170	0.0691870
400	0.2124052	0.3536226	0.1747341	0.0672750	0.2085707	0.1374460	0.7874922	0.6308402	0.0894844	0.7091027	0.6481900	0.3090817	0.0026609	0.0491407	0.6956125	0.5926944	0.0916111	0.1770739	0.4622534	0.0661301	0.7246236	0.1533314	0.0131691	0.7776277	0.1049154	0.0668304	0.7394223	0.7232846	0.4637510	0.1034613	0.1707469	0.7479099	0.8021746	0.4570222	0.7105008	0.5684597	0.6177636	0.1003388	0.7086092	0.7522560	0.6902815	0.7048008	0.7167624	0.2006092	0.0891429
450	0.2082463	0.3257840	0.1588937	0.1007392	0.2690960	0.0855435	0.6977467	0.5318449	0.0986692	0.7053664	0.7018679	0.2141903	0.0044822	0.0121402	0.7214426	0.4226287	0.0871736	0.0988564	0.4522882	0.0793015	0.5922971	0.2240864	0.0054841	0.7687705	0.1310081	0.0508179	0.5935106	0.6430845	0.2860117	0.0588561	0.2072345	0.6706508	0.9279295	0.5179655	0.7559582	0.5719330	0.5311725	0.1176215	0.6986620	0.6328417	0.7792670	0.6159194	0.8230319	0.2932870	0.1397329
500	0.3611979	0.4173683	0.1109111	0.0456094	0.2647995	0.1974005	0.7343733	0.3688316	0.0826737	0.8617563	0.9164705	0.2653076	0.0001488	0.0210991	0.7791364	0.5103885	0.0863306	0.0664339	0.4835992	0.0806895	0.5926335	0.2200668	0.0091239	0.6994758	0.0800949	0.0934553	0.7687616	0.6227054	0.2549802	0.0647756	0.1963602	0.6983444	0.6018856	0.4744344	0.7305343	0.5205923	0.5511517	0.1297899	0.7538772	0.6687931	0.7732750	0.6894423	0.7577314	0.2448082	0.0947108
550	0.3049463	0.3426039	0.1038013	0.2427946	0.3255996	0.6488846	0.7503353	0.5340339	0.3398915	0.6768026	0.7954311	0.4254652	0.0000000	0.0199999	0.5924965	0.3832273	0.5391011	0.3918043	0.5264371	0.1474921	0.5525931	0.0446349	0.0772127	0.6313025	0.4620406	0.1369238	0.7029953	0.4631312	0.0687785	0.4751835	0.0408994	0.5362841	0.7748506	0.5591268	0.6161011	0.4789313	0.2549190	0.5578045	0.8802501	0.6629748	0.6723092	0.7390247	0.7408423	0.2332025	0.1179862
600	0.2336576	0.2899941	0.0348718	0.2945669	0.2759480	0.6962229	0.6488522	0.6147501	0.4545972	0.7837784	0.7180119	0.5457171	0.0050838	0.0314406	0.5547896	0.1558367	0.7660085	0.4025819	0.6966465	0.0745475	0.5120651	0.0495274	0.4077138	0.8789634	0.6170271	0.1172208	0.7062924	0.5995569	0.0431535	0.7771583	0.0227379	0.3373891	0.6924248	0.6276803	0.6912498	0.5038820	0.0777913	0.8328061	0.7186859	0.7238306	0.6154627	0.6835207	0.6462363	0.2996288	0.1015197
