"Time"	G1	G3	G8	G4	G7	G83	G6	G89	G85	G5	G88	G54	G87	G86	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G22	G23	G80	G82	G58	G51

0	0.0425290	0.0320724	0.7764857	0.0763613	0.6362736	0.6887689	0.3755971	0.1863341	0.4990961	0.3941751	0.4194882	0.3704663	0.1000590	0.0697223	0.6803501	0.3036097	0.0532890	0.6119971	0.5970158	0.6269688	0.5095362	0.7345117	0.5900204	0.2335077	0.6602831	0.6314691	0.4078502	0.0098551	0.7169339	0.2322194
50	0.0549065	0.0323860	0.7233773	0.0716757	0.7121926	0.6047579	0.1969272	0.2348817	0.3139997	0.2381955	0.2776115	0.4474026	0.2345265	0.1244324	0.7008144	0.2269145	0.0345298	0.6603931	0.4730307	0.4507510	0.5496943	0.8252662	0.4644248	0.3402333	0.4926424	0.6623215	0.3561902	0.0051478	0.7368895	0.5239886
100	0.0515306	0.0240368	0.7619461	0.0761441	0.6320506	0.6431840	0.1972552	0.3029519	0.3963619	0.2439333	0.3257826	0.3948093	0.1883031	0.0646454	0.7423111	0.2643299	0.0359538	0.7496206	0.4253219	0.5680701	0.4803835	0.7687331	0.5393031	0.2799451	0.4283523	0.7648796	0.3182362	0.0206647	0.6757797	0.5379728
150	0.0257276	0.0131488	0.7001219	0.0629458	0.6221087	0.5962503	0.4465843	0.2415468	0.2961517	0.1748030	0.4489358	0.3146156	0.2710666	0.0710996	0.7087586	0.2613819	0.0506397	0.6241893	0.5328610	0.5614964	0.7337075	0.7992678	0.4429706	0.2237444	0.4449635	0.7548318	0.3511202	0.0093597	0.7850496	0.6134416
200	0.0362038	0.0747364	0.4982735	0.0630967	0.6598186	0.6633625	0.5197692	0.2868729	0.5092769	0.2317998	0.3600795	0.4431687	0.3100917	0.0479291	0.6914694	0.2532340	0.0790831	0.5448863	0.4001035	0.5726883	0.5533733	0.8062885	0.5679042	0.3104438	0.3800699	0.7134126	0.3654995	0.0060886	0.7987551	0.7582770
250	0.0479958	0.0279486	0.6660884	0.0652908	0.7552800	0.5279422	0.3593460	0.2246508	0.5458295	0.2473490	0.2925442	0.3937302	0.2344452	0.1350762	0.5661577	0.2477803	0.0735712	0.5733838	0.4319170	0.4683824	0.3944580	0.7109347	0.5922609	0.2355621	0.3434949	0.7434600	0.4614542	0.0072556	0.7677594	0.6365135
300	0.0244849	0.0122896	0.6235592	0.0688348	0.7248767	0.6565839	0.2256661	0.1682141	0.6376691	0.2905520	0.2900446	0.3496868	0.2879695	0.0799861	0.6144040	0.2121697	0.0415060	0.7296057	0.5596797	0.6620507	0.5405949	0.6550301	0.6079714	0.1392322	0.4114671	0.6346252	0.3684851	0.0150974	0.6079744	0.6412975
350	0.0313090	0.0705127	0.5215132	0.0721340	0.6764646	0.6313667	0.2688902	0.1942365	0.5717727	0.2891364	0.4455370	0.3230094	0.2677524	0.1388086	0.6280170	0.3531505	0.0991189	0.5271078	0.4773298	0.5213920	0.4458915	0.7387356	0.5339497	0.1992710	0.3437919	0.7090238	0.4420581	0.0019872	0.6525266	0.5935096
400	0.0191058	0.0333840	0.6421477	0.0949865	0.7202119	0.6737969	0.1932729	0.1710789	0.5471842	0.3162698	0.2974848	0.4720879	0.2377280	0.0768467	0.6270732	0.3102728	0.0609379	0.6881162	0.6755145	0.5235601	0.4523048	0.7104166	0.5314065	0.1424787	0.3443357	0.7249766	0.4196008	0.0194944	0.7595092	0.6660860
450	0.0607362	0.0490463	0.5462504	0.1572648	0.7921563	0.6302019	0.1254105	0.1244530	0.5414152	0.2577125	0.3888519	0.4946221	0.2585240	0.1462853	0.6409954	0.3547712	0.0728595	0.6288764	0.6730142	0.5336229	0.4347563	0.7435591	0.5485392	0.1821143	0.3900142	0.7155986	0.3545197	0.0063786	0.7828799	0.6139183
500	0.0431186	0.0228885	0.6888554	0.0528787	0.5896874	0.6624402	0.2535064	0.1959530	0.3242938	0.2382528	0.3881027	0.4142531	0.2988323	0.1238557	0.6560768	0.2954996	0.0514801	0.5491134	0.5592460	0.5300489	0.4324962	0.8525393	0.7434675	0.1570416	0.3367408	0.8453789	0.3966344	0.0142672	0.6558759	0.5674978
550	0.0513988	0.0142452	0.7939589	0.0463874	0.6613690	0.6477512	0.4819109	0.2196704	0.3967987	0.3919722	0.3547376	0.4015099	0.0684751	0.0851044	0.7076487	0.3421333	0.0547945	0.6530389	0.6312525	0.6049963	0.4329791	0.7833399	0.5615424	0.1690040	0.4519199	0.7616305	0.3277930	0.0116005	0.6778321	0.4104517
600	0.0301066	0.0253244	0.6526548	0.0509700	0.7702762	0.6319414	0.5003693	0.1800308	0.5146353	0.3412262	0.2772695	0.3754109	0.0655966	0.1289065	0.6517010	0.2609108	0.0387171	0.5227180	0.5347336	0.5680731	0.4526427	0.7837114	0.5708174	0.2573170	0.5812020	0.7644945	0.3126517	0.0137055	0.6950249	0.3611562
650	0.0685607	0.0207840	0.6824508	0.0592936	0.6178303	0.5789836	0.5345742	0.1697650	0.5620136	0.3846099	0.2992951	0.3524482	0.2006132	0.1109448	0.8237268	0.3881809	0.0778818	0.6751828	0.5879442	0.5697099	0.4858534	0.6339846	0.4470864	0.1874871	0.7405141	0.9533576	0.3134992	0.0043475	0.5585243	0.2388345
700	0.0449205	0.0603418	0.6522418	0.0469310	0.6693839	0.5011168	0.5670714	0.1970662	0.6656392	0.3536623	0.2626660	0.3339212	0.1247515	0.0516512	0.6090590	0.4158118	0.0766265	0.5334633	0.4905721	0.5331468	0.3938087	0.7528330	0.4632756	0.2311190	0.7239783	0.7216367	0.4211128	0.0060736	0.5827226	0.2718344
750	0.0366839	0.0134831	0.6785280	0.0320049	0.9393783	0.5639746	0.6918107	0.2016755	0.6265473	0.4477335	0.2716787	0.3655532	0.1525852	0.1037177	0.5572543	0.3649644	0.0536348	0.6367223	0.6402472	0.5367095	0.4549844	0.6693387	0.4984332	0.2359928	0.7739264	0.7125943	0.3971934	0.0081402	0.7803214	0.2391718
800	0.0568236	0.0387945	0.6845655	0.0430413	0.6030096	0.4488588	0.2119211	0.2251598	0.7517853	0.3639505	0.2619756	0.4152717	0.1578004	0.0692339	0.5404013	0.3811044	0.0575507	0.6178136	0.4392388	0.5399675	0.5837364	0.7161371	0.4291523	0.1533404	0.5772757	0.8389393	0.3571391	0.0256304	0.7642907	0.3154635
850	0.0477651	0.0512670	0.6566057	0.0733536	0.5873375	0.4287639	0.1992603	0.2220229	0.5142928	0.3190283	0.3519259	0.3610539	0.0994363	0.0686947	0.6929031	0.3548943	0.0766880	0.7003947	0.5103916	0.5507397	0.5797060	0.6816111	0.5443579	0.2290612	0.6045250	0.6320645	0.3409048	0.0422420	0.6529403	0.3038431
900	0.0338065	0.0571340	0.6570652	0.0458043	0.5686615	0.4977366	0.1995327	0.2239946	0.3994474	0.3176049	0.4099285	0.4174904	0.0599155	0.0676572	0.4928722	0.3025095	0.0468001	0.6331251	0.6005342	0.6108928	0.4778192	0.7239048	0.4467598	0.2762354	0.5402762	0.6208207	0.4448842	0.0014883	0.7264427	0.3209519
950	0.0623085	0.0514834	0.7344449	0.0529755	0.4959422	0.5995626	0.2140290	0.1813295	0.3931394	0.2982832	0.4078107	0.3349117	0.0560184	0.0659446	0.5793193	0.2278038	0.0450511	0.7971264	0.5433544	0.6619110	0.4214523	0.7990131	0.5299300	0.1919158	0.7795302	0.6080206	0.3323919	0.0155452	0.7448071	0.3513876
1000	0.0451000	0.0396621	0.6092530	0.0777404	0.5600547	0.6087340	0.2001146	0.1816253	0.3936327	0.3810317	0.3397650	0.3819891	0.0951592	0.0835384	0.6302811	0.3215440	0.0566409	0.6000839	0.5146720	0.5193255	0.4917178	0.6361498	0.6069105	0.1998826	0.6674657	0.8138980	0.3437709	0.0164592	0.6587661	0.2788012

0	0.0506611	0.0434393	0.6610521	0.0475276	0.5841136	0.7011660	0.3192386	0.1690937	0.3935282	0.3173240	0.3269472	0.3758246	0.0719767	0.0946687	0.5952540	0.3129850	0.0523063	0.7341733	0.5672591	0.5427046	0.5265628	0.6246307	0.6142246	0.1964300	0.7444235	0.6571259	0.3122304	0.0047724	0.7007413	0.2470384
50	0.0106889	0.0336617	0.7794461	0.3533269	0.6804985	0.6827698	0.3930494	0.3827503	0.4054938	0.3555751	0.3629372	0.3647640	0.0640366	0.0862587	0.6212741	0.2320190	0.0117537	0.6417116	0.4154770	0.5152611	0.4618836	0.7254373	0.5485316	0.2865636	0.3166491	0.6278444	0.1366285	0.0049785	0.6840743	0.4315464
100	0.0337188	0.0301073	0.7528455	0.5117637	0.7193957	0.4951793	0.4973445	0.5150841	0.5698830	0.4560810	0.3988191	0.4154218	0.0970531	0.1061680	0.5373492	0.3450210	0.0255165	0.7167737	0.6169536	0.4748985	0.5583796	0.6569017	0.6012327	0.2053010	0.2874697	0.6613094	0.0782293	0.0049297	0.6307971	0.2986951
150	0.0186277	0.0289345	0.7345910	0.6735372	0.7511257	0.4019326	0.7368399	0.5283590	0.6063679	0.6218958	0.2549888	0.3306014	0.1641610	0.1539329	0.6535849	0.4262634	0.0312331	0.5972925	0.6764966	0.4248034	0.4361395	0.7676790	0.5099920	0.1909182	0.2479633	0.6653211	0.1013847	0.0177436	0.6904670	0.2603894
200	0.0468735	0.0096328	0.6585181	0.6551645	0.7139404	0.2702733	0.6464852	0.4308868	0.6475372	0.4882446	0.1307791	0.4430382	0.1914609	0.1125037	0.4545848	0.4218547	0.0218240	0.7438596	0.5024863	0.3820198	0.5870868	0.6658406	0.5544487	0.1167038	0.2656208	0.7530655	0.0931214	0.0086114	0.6676285	0.1582056
250	0.0267571	0.0092975	0.7243670	0.7571062	0.6011999	0.3374673	0.6465844	0.5575815	0.6621689	0.6140784	0.1542511	0.3849581	0.2186194	0.1194202	0.3951099	0.4795130	0.0079910	0.6689973	0.5619379	0.3562464	0.5086994	0.6418283	0.5727050	0.1719322	0.1957415	0.7044923	0.0934971	0.0063697	0.6425815	0.1907403
300	0.0083652	0.0024324	0.5727998	0.8390743	0.6485958	0.2090620	0.5847680	0.4493260	0.7278571	0.4921100	0.1521695	0.4077124	0.1673343	0.1207851	0.3705079	0.4081240	0.0321953	0.7103744	0.6174815	0.2788577	0.6149388	0.6840053	0.4847864	0.1702123	0.2256214	0.7309668	0.1078099	0.0038067	0.7510932	0.3518017
350	0.0333977	0.0181966	0.6314196	0.6163102	0.7121302	0.2863718	0.5590894	0.4829702	0.6350829	0.5872051	0.2075318	0.4921649	0.2071303	0.0963449	0.3688494	0.4084635	0.0240881	0.6130053	0.5207863	0.3616303	0.5640618	0.7370573	0.5197270	0.2327665	0.2376899	0.6869192	0.0995638	0.0140223	0.6723915	0.3470177
400	0.0326138	0.0113663	0.6958898	0.5720213	0.6278627	0.1887419	0.5986833	0.4044598	0.6786393	0.5262974	0.2371133	0.4867384	0.1708225	0.0794011	0.4140897	0.3912313	0.0134622	0.7787159	0.5037081	0.3873262	0.6075544	0.8415801	0.5016163	0.2137227	0.2158124	0.7008588	0.1270415	0.0071915	0.7155467	0.4036709
450	0.0123327	0.0253926	0.5559140	0.7213532	0.6741761	0.1488645	0.7867439	0.4217018	0.7360741	0.5919729	0.1708068	0.5214201	0.2341457	0.0586705	0.4303848	0.3071015	0.0197843	0.7484735	0.4449393	0.4397955	0.4846146	0.5631291	0.5428565	0.2033339	0.3668979	0.6255225	0.1162953	0.0085072	0.7680016	0.3258397
500	0.0138131	0.0235591	0.6495222	0.7246421	0.7143471	0.1989243	0.6242057	0.6265174	0.7373737	0.5503777	0.1958382	0.4809307	0.2229848	0.0780413	0.4352350	0.4159736	0.0338559	0.6906945	0.5179758	0.3942916	0.5041566	0.6895926	0.5395701	0.3432683	0.1937468	0.6782975	0.1215095	0.0088565	0.7925301	0.4372394
550	0.0547565	0.0453363	0.7003267	0.2237576	0.7506765	0.2266870	0.7436229	0.4627908	0.6728224	0.5674158	0.1939396	0.5217404	0.2676055	0.0374181	0.5577155	0.4324404	0.0487467	0.6997557	0.4753412	0.4603524	0.5945118	0.6887166	0.4529211	0.2851839	0.4958451	0.7663084	0.3177966	0.0323882	0.7231079	0.5232449
600	0.0307479	0.0370111	0.7006881	0.1080247	0.8379110	0.2218507	0.3130017	0.3275005	0.6288005	0.4997903	0.2080211	0.6375313	0.1915470	0.0327515	0.5366654	0.5018526	0.0566030	0.6835986	0.4452383	0.3646302	0.6214996	0.5500135	0.5066356	0.2096010	0.6585830	0.6618087	0.3325609	0.0057872	0.7082029	0.5722170
650	0.0434737	0.0461540	0.7753396	0.0566205	0.6678811	0.3819859	0.2093799	0.4955955	0.6311081	0.3256651	0.3136633	0.5358559	0.1251398	0.0749281	0.4823328	0.3318911	0.0408249	0.8513177	0.4930490	0.4134243	0.5189796	0.6702401	0.5998810	0.2571047	0.6479612	0.7141225	0.4240344	0.0126584	0.7468816	0.4741759
700	0.0400021	0.0554110	0.7865009	0.0706116	0.5974359	0.4774449	0.1150678	0.6122122	0.5103701	0.2170776	0.3144166	0.4632973	0.0565580	0.0649526	0.5769564	0.3083630	0.0521847	0.7167914	0.4626358	0.5110219	0.4919331	0.7274905	0.5617454	0.3097772	0.7161116	0.6111870	0.3555384	0.0072755	0.7303350	0.5120949
750	0.0403662	0.0500155	0.6056453	0.0602909	0.6050884	0.6442977	0.1224732	0.3381799	0.3726910	0.2550592	0.3743857	0.3892314	0.0399401	0.0527442	0.5596490	0.1864939	0.0724659	0.6895567	0.5115564	0.5691318	0.5297567	0.6583611	0.4688418	0.1809995	0.7019081	0.8152967	0.3550031	0.0040073	0.8117372	0.4285292
800	0.0447198	0.0738943	0.6225152	0.0619085	0.4645028	0.5996985	0.0782308	0.3655657	0.2764561	0.2242309	0.5424052	0.4938045	0.0064420	0.0862031	0.6828722	0.1868312	0.0787678	0.6207118	0.4698023	0.4720321	0.4985053	0.6841125	0.6938935	0.2607710	0.6785355	0.8104765	0.3190589	0.0221316	0.6684006	0.3720235
850	0.0415850	0.1088481	0.5899416	0.0497982	0.4325624	0.7633549	0.1135249	0.3856321	0.2608461	0.3930583	0.4672289	0.4973198	0.0196885	0.0620446	0.7780322	0.2009172	0.0973771	0.6733465	0.4167238	0.7039616	0.4874572	0.9192876	0.5539473	0.2440490	0.7410810	0.8936008	0.3564030	0.0093297	0.7217860	0.4120577
900	0.0549627	0.0350567	0.8104034	0.0294572	0.5095965	0.6504224	0.1101817	0.2911600	0.2568399	0.3484769	0.4935059	0.4400150	0.0494338	0.0732889	0.7396697	0.1896127	0.0707156	0.7406238	0.5284505	0.6726612	0.5644314	0.7776554	0.5648308	0.2670790	0.6261312	0.6120771	0.3373012	0.0045030	0.7973228	0.3922686
950	0.0290997	0.0432657	0.8591272	0.0347418	0.5498158	0.7636205	0.1871832	0.1984915	0.3967783	0.2930901	0.5658463	0.2791946	0.0620345	0.0633836	0.6589560	0.2667120	0.0573593	0.5664284	0.4669838	0.7755913	0.4783922	0.6759996	0.5515511	0.2369903	0.6276679	0.7704217	0.3090546	0.0133810	0.7187841	0.2489824
1000	0.0605102	0.0738323	0.6502638	0.0295132	0.6399808	0.6421006	0.0932836	0.1135894	0.3040499	0.3578461	0.4491439	0.3851796	0.0809754	0.1171925	0.8533516	0.2903782	0.0770278	0.7073991	0.6142907	0.6072759	0.4748905	0.8309083	0.5071298	0.2201319	0.6458848	0.7658007	0.4879354	0.0065305	0.7451374	0.2167051

0	0.0492623	0.0278418	0.6498445	0.0465785	0.7244748	0.7356281	0.4108351	0.2401077	0.4178812	0.2744585	0.3619968	0.4551072	0.0554977	0.0575093	0.5817595	0.3784535	0.0243436	0.6306655	0.5627481	0.9033086	0.4951750	0.6913243	0.6246399	0.1664865	0.7900314	0.7229084	0.4157753	0.0148597	0.6825853	0.2347865
50	0.0496036	0.0753265	0.6254809	0.1930390	0.6694192	0.1883518	0.4638890	0.2041064	0.6571990	0.2865107	0.2403650	0.3390057	0.1010507	0.0704803	0.2500987	0.3154829	0.0379732	0.6206188	0.5903807	0.5418277	0.4416390	0.5242549	0.4772570	0.2335710	0.7287330	0.7641215	0.3144872	0.0170166	0.7202778	0.2986533
100	0.0611667	0.0350595	0.5441373	0.3529903	0.5526465	0.1458622	0.6495420	0.1451271	0.8478243	0.3783376	0.2818718	0.2835022	0.1089361	0.1053828	0.1559249	0.5002303	0.0479633	0.5622401	0.6040034	0.5421056	0.3599046	0.5786412	0.4060460	0.1647131	0.5922675	0.6032102	0.3355287	0.0097835	0.7017906	0.3037399
150	0.0891299	0.0499707	0.4809756	0.2799298	0.6245285	0.0640512	0.2790375	0.1870352	0.7070244	0.3615618	0.3054169	0.3898064	0.0864198	0.1062936	0.0777291	0.4154127	0.0568425	0.6105884	0.4599029	0.4752842	0.5187756	0.4756090	0.4747076	0.1519147	0.7166854	0.7731467	0.4228830	0.0171607	0.7237218	0.3499090
200	0.0481877	0.0412570	0.6125411	0.2838900	0.7085287	0.0452339	0.2305375	0.1322217	0.6153720	0.4431225	0.3835208	0.4361415	0.0549243	0.1268151	0.1483070	0.3274614	0.0511659	0.5366507	0.5324151	0.5367014	0.4744690	0.4908756	0.4135992	0.1854159	0.7320119	0.7064297	0.3298232	0.0064183	0.6380446	0.3559439
250	0.0938554	0.0710446	0.4599785	0.2835286	0.5244627	0.0659038	0.1601023	0.2969959	0.6028439	0.2770058	0.3844163	0.5007574	0.0640469	0.1267311	0.1358640	0.2653395	0.0605234	0.5849752	0.5537864	0.4363264	0.4335844	0.5054431	0.4263900	0.2466976	0.6869124	0.7963897	0.4367543	0.0141516	0.7514563	0.4296175
300	0.0460700	0.0506540	0.6181084	0.4197461	0.5445966	0.0407600	0.0870453	0.3067872	0.4865254	0.2710550	0.4398600	0.3041041	0.0237136	0.0819138	0.1588560	0.3153852	0.0350317	0.6334631	0.4280372	0.5720801	0.4572603	0.5072941	0.4853491	0.1965485	0.6567056	0.6826356	0.4975697	0.0024345	0.9018404	0.3931735
