"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.7271181	0.1744046	0.5038700	0.4250501	0.2794274	0.4155072	0.5133419	0.0897627	0.6218941	0.2997620	0.6404401	0.5782957	0.5609781	0.4374780	0.7517933	0.2466679	0.2995064	0.4408755	0.2618049	0.7275922	0.2592494	0.0158896	0.7070628	0.4946270	0.0151839	0.0213438	0.1446813	0.6283213	0.6068110	0.8438996	0.5026325	0.7806228	0.0736216	0.7344782	0.6321540	0.4232121	0.4126184	0.5021652	0.5346109	0.3000493	0.0314970	0.2555533	0.3022539	0.6789085	0.7316369	0.0042094	0.1721942	0.4457352	0.3622737	0.5620031	0.2817214	0.8721460	0.0808509	0.4532811	0.6093392	0.1122444	0.4119998	0.5898752	0.6107603	0.7848239	0.5508310	0.7690597	0.4349095	0.2720599	0.2470530	0.5344002	0.1999635	0.2771155	0.6849277	0.2162296	0.1302390	0.1052916	0.1226908	0.3921556	0.3759068	0.1082709	0.0013627	0.4636856	0.5682269	0.1970397	0.2921402	0.2429766	0.5346317	0.1532257	0.3558883	0.7124752	0.2450781	0.5726437	0.5412154	0.5990030	0.3967906	0.4289316	0.4606255	0.6183644	0.7202198	0.6761643	0.2807788	0.7122303	0.8373669	0.7221862
50	0.7549135	0.1027732	0.0719995	0.2610229	0.1172995	0.3770814	0.2970307	0.0667769	0.4990183	0.3172016	0.5787032	0.5860853	0.5703566	0.0853198	0.7484284	0.1884813	0.3040171	0.4392843	0.3873393	0.6278048	0.2427657	0.0398420	0.7122832	0.5969519	0.2172980	0.0442174	0.1153078	0.4613184	0.4996655	0.6189677	0.6146779	0.3077301	0.1669844	0.7172751	0.5557233	0.4311543	0.5398942	0.4671103	0.5893426	0.2707613	0.3063757	0.2292564	0.3311184	0.8028002	0.6016667	0.0570620	0.0950003	0.4524588	0.4483640	0.4339096	0.2100449	0.6295688	0.0620068	0.4553962	0.6247748	0.1570344	0.4953269	0.5931282	0.8027970	0.5286409	0.5307518	0.7778231	0.4124185	0.4139428	0.2647713	0.4768665	0.2531139	0.1103783	0.6317086	0.2467780	0.3560649	0.1950658	0.1276481	0.3795416	0.2122612	0.1489984	0.0331136	0.4796067	0.5560422	0.2305999	0.2608008	0.2419756	0.5307100	0.2829408	0.3789739	0.6812123	0.2076004	0.7181115	0.4896074	0.6183172	0.3266791	0.4085309	0.5805979	0.3759285	0.6583283	0.9547002	0.2109558	0.7477420	0.5937647	0.7168972
100	0.3813312	0.1261445	0.0796065	0.1480750	0.0475985	0.5357548	0.2670859	0.0954054	0.5061885	0.3020898	0.6060412	0.5108458	0.4651972	0.0336520	0.6829760	0.2179963	0.0967376	0.4820233	0.5318985	0.7940529	0.1417687	0.0305445	0.5846139	0.5131105	0.1822688	0.0265404	0.1462395	0.3339920	0.3858386	0.6403067	0.5118008	0.2642769	0.2332522	0.8618381	0.3942341	0.2850724	0.4336070	0.4687770	0.4623501	0.3244070	0.4224719	0.2481710	0.2618472	0.7744710	0.6508748	0.0350806	0.0594476	0.4226003	0.4406593	0.6123300	0.2750323	0.6105063	0.0526697	0.2736414	0.5340279	0.2673398	0.3984232	0.4757345	0.7608483	0.5706569	0.5433498	0.6791891	0.3939532	0.4036897	0.2854310	0.4912977	0.2396126	0.1120384	0.6228372	0.2116641	0.4232469	0.1512052	0.1638518	0.4359535	0.0913747	0.1699176	0.0307311	0.5340271	0.4577479	0.2394350	0.2173090	0.2291517	0.5506347	0.1731883	0.3898647	0.7146647	0.2329089	0.5439457	0.4649270	0.4994355	0.4532791	0.3816474	0.6508570	0.2484670	0.6069935	0.6310546	0.2413758	0.5425414	0.7696921	0.6892583
150	0.2231923	0.1424951	0.0802991	0.0247453	0.0356907	0.4674695	0.2659459	0.0791110	0.5429407	0.3457116	0.6136232	0.6118427	0.6987565	0.0200711	0.8904876	0.2202731	0.1154965	0.3927715	0.4063798	0.7687692	0.1310592	0.0135680	0.7233760	0.6081488	0.2076484	0.0097711	0.1893880	0.3609549	0.4040353	0.7419842	0.5783913	0.1834864	0.2258424	0.5933459	0.1353832	0.2976388	0.3957204	0.5909857	0.5486319	0.2633416	0.5122759	0.3038569	0.3078012	0.6624826	0.6759819	0.0683001	0.0726412	0.4590387	0.3279721	0.5094296	0.2370016	0.5700405	0.0188048	0.3378259	0.4074606	0.3008774	0.3167201	0.4208541	0.6968205	0.5207055	0.5249572	0.6621171	0.3623906	0.4713618	0.2934488	0.6617855	0.2619013	0.0582101	0.6930084	0.1638730	0.4181311	0.2513655	0.2314860	0.4601832	0.0397675	0.1284676	0.0446446	0.4406105	0.5435845	0.2260052	0.2964118	0.1951211	0.5601532	0.1430573	0.3422889	0.7545172	0.2803053	0.6976086	0.5007788	0.6793169	0.4438966	0.5125077	0.6335928	0.2066228	0.6228007	0.7197261	0.3371072	0.7320196	0.6432712	0.6649672
200	0.1654829	0.1686921	0.1006076	0.0394846	0.0404993	0.5782636	0.2457648	0.2080503	0.6148026	0.4481497	0.4714391	0.5388595	0.6862458	0.0129511	0.7370846	0.1885768	0.2664089	0.2872626	0.4702672	0.7821098	0.1210621	0.0278099	0.6479109	0.5001512	0.2169499	0.0354097	0.0954674	0.4145529	0.3932969	0.7655998	0.6190393	0.1504576	0.3011414	0.7096894	0.1574985	0.3430749	0.4279235	0.5151920	0.4946294	0.3044488	0.3500073	0.2275107	0.2930275	0.6432794	0.7231917	0.0892424	0.0303747	0.4425142	0.6396787	0.6176161	0.2208274	0.5861730	0.0234016	0.2094878	0.4275203	0.3793404	0.3324979	0.3147541	0.7370282	0.6090765	0.4878968	0.7086249	0.4036177	0.5445079	0.3464544	0.5518059	0.3781624	0.0632447	0.7339383	0.2530369	0.4204847	0.2830483	0.2804346	0.4060731	0.0149693	0.2075553	0.0610587	0.4061323	0.6088611	0.2607594	0.3034437	0.2273687	0.5663046	0.1773470	0.4307526	0.6197974	0.1765031	0.7185993	0.3848576	0.6081474	0.3965624	0.3397875	0.5951063	0.2738818	0.7887438	0.7432565	0.2800242	0.6654645	0.6933677	0.7246416
250	0.1131239	0.2074597	0.1055626	0.0445660	0.1083410	0.6548637	0.1953757	0.3499432	0.8212184	0.6154945	0.5353930	0.6373057	0.5909785	0.0156785	0.6256406	0.2541287	0.4540497	0.2846615	0.5355958	0.5571662	0.1292647	0.0226006	0.6600769	0.5073404	0.1573280	0.0260607	0.1345083	0.3801628	0.3814677	0.7017352	0.5213870	0.1251909	0.3179113	0.6828166	0.1400790	0.2670087	0.4720747	0.5517757	0.4950079	0.2974297	0.3656937	0.2495388	0.3564716	0.4619606	0.6164731	0.0386891	0.0671206	0.3221126	0.5342581	0.5135721	0.2139815	0.6433048	0.0141405	0.1341403	0.5085978	0.3630758	0.2590134	0.3468893	0.7295437	0.5763124	0.6064442	0.6046261	0.4077368	0.4533151	0.2197578	0.5562902	0.3761195	0.1108760	0.6328383	0.2447215	0.5443227	0.3575051	0.3114491	0.5257915	0.0103666	0.2159959	0.0365685	0.5439747	0.5820301	0.1923945	0.3357163	0.3706716	0.5238331	0.1586450	0.3430352	0.7256564	0.2207240	0.7170385	0.5147095	0.6410798	0.4072287	0.3696373	0.5913962	0.2200264	0.7772152	0.7177751	0.2788484	0.8505693	0.7936918	0.6074346
300	0.1294200	0.3182496	0.0854781	0.0517291	0.0431587	0.5720345	0.1388712	0.4158208	0.7696975	0.6757497	0.7583567	0.6990109	0.6386192	0.0763172	0.8466387	0.3334547	0.3604772	0.2922580	0.4304242	0.7023067	0.1267579	0.0273612	0.6691465	0.6354942	0.2555372	0.0554232	0.1417252	0.3930767	0.3075090	0.6141611	0.5088554	0.1463461	0.3612328	0.6544220	0.1601114	0.3879196	0.5128278	0.4563775	0.3269235	0.2392122	0.4030035	0.3364075	0.3569747	0.3842573	0.7829405	0.0610607	0.0426806	0.3597728	0.5483024	0.5417081	0.2384720	0.7307359	0.0175703	0.1966106	0.4833141	0.3540381	0.2713796	0.3883354	0.9319901	0.6441451	0.6236509	0.7878679	0.3786674	0.3568669	0.2587607	0.6019649	0.4131142	0.1238866	0.7110227	0.1636810	0.5266158	0.3915696	0.4304854	0.4928930	0.0087846	0.3451861	0.0990377	0.4321985	0.5795966	0.2931536	0.3220031	0.2541209	0.5450686	0.1479514	0.3145964	0.6635640	0.2247354	0.7014802	0.5581383	0.5902935	0.4602449	0.4589772	0.6072657	0.3071950	0.7632396	0.9064936	0.3725603	0.6941475	0.6815518	0.7094255
350	0.1170720	0.4260642	0.0678277	0.0269778	0.0552833	0.5874514	0.1293585	0.4404954	0.7956573	0.6098964	0.4453347	0.6856791	0.8158626	0.0509243	0.5729093	0.3627365	0.3774328	0.3030417	0.3241320	0.7223190	0.1127415	0.0133902	0.7744141	0.6051087	0.2261901	0.0306550	0.1637449	0.4242312	0.2177053	0.7093824	0.5747596	0.1339154	0.2766228	0.7285107	0.0854259	0.3496643	0.4746645	0.5288114	0.3653512	0.3643662	0.3262428	0.2655952	0.2797917	0.3520846	0.6191358	0.0888190	0.0726825	0.4833276	0.6505132	0.6184592	0.2562327	0.7707598	0.0132757	0.1950952	0.5062009	0.3268117	0.3268734	0.3514847	0.7068766	0.5865070	0.5505661	0.6510180	0.4799598	0.3767887	0.2502739	0.5188356	0.4193104	0.1973562	0.7777298	0.2756413	0.5693835	0.4820573	0.5367228	0.5486625	0.0066601	0.3585437	0.0457336	0.4705545	0.5991033	0.2483956	0.3050723	0.2319454	0.5170220	0.1125841	0.3450380	0.6760363	0.2683898	0.7130978	0.3805346	0.5845915	0.5003246	0.4159088	0.6528464	0.1843566	0.6769765	0.7493286	0.3734010	0.7234856	0.7438890	0.6163682
400	0.1234350	0.5021734	0.0743216	0.0390969	0.0765412	0.6396885	0.0688116	0.4455363	0.6203072	0.6122319	0.6442003	0.7004759	0.6112763	0.0350381	0.5885575	0.2967125	0.4696662	0.2647672	0.3921162	0.6800311	0.1304935	0.0105565	0.7325061	0.5864131	0.2952643	0.0190062	0.1098552	0.3426993	0.3889246	0.6293763	0.5839372	0.1319908	0.4594806	0.7500131	0.1060377	0.4152405	0.5182915	0.5375273	0.3859405	0.2985017	0.3134960	0.2004587	0.2467121	0.4080070	0.8571868	0.0706423	0.0720023	0.3670432	0.4951871	0.5373741	0.2232922	0.7250073	0.0292524	0.1662849	0.4760119	0.4030715	0.3261210	0.4204758	0.7925878	0.6480474	0.5043569	0.7389081	0.4244498	0.3839286	0.2139627	0.3808891	0.5490936	0.1671195	0.7641281	0.2516412	0.4920940	0.5854414	0.5405840	0.6791849	0.0086005	0.3422092	0.0678874	0.4236433	0.5696210	0.3119833	0.3557841	0.2053617	0.5257766	0.1973375	0.3367426	0.7106015	0.2521132	0.7819390	0.5052741	0.5400399	0.4476356	0.4160031	0.6067902	0.2252304	0.6834656	0.6599003	0.3465816	0.6747965	0.6893119	0.7646229
