"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6016986	0.0918275	0.4626339	0.4170723	0.2613586	0.4968970	0.5117911	0.0816181	0.5745974	0.1723120	0.5386424	0.5945426	0.5232643	0.3801934	0.7561891	0.1221656	0.3865429	0.3645707	0.3446369	0.6305390	0.2378128	0.0256210	0.7188725	0.3719005	0.0403350	0.0312069	0.1305749	0.6170880	0.4850599	0.6872273	0.4694153	0.5820305	0.1406670	0.7545817	0.4543962	0.3124018	0.4651693	0.5345320	0.3793951	0.3563559	0.0420381	0.1856177	0.3061406	0.6900966	0.5861968	0.0138014	0.1317671	0.4811934	0.5021182	0.5848237	0.1847709	0.6416440	0.1101639	0.5443099	0.6094827	0.1234146	0.4817515	0.4506804	0.5531691	0.7103598	0.5620155	0.6335891	0.4186878	0.2316242	0.2684466	0.4619416	0.2793178	0.1949312	0.6949088	0.1617770	0.1399409	0.1544393	0.1511205	0.4128684	0.3532566	0.1773313	0.0144530	0.4746107	0.4724616	0.1720253	0.2701955	0.2542683	0.4629905	0.1586368	0.3645124	0.7831559	0.2344157	0.4466358	0.4188974	0.6030766	0.3897672	0.3845061	0.5032727	0.6055195	0.6726077	0.6365400	0.2804389	0.5972038	0.4970030	0.5742587
50	0.5170682	0.0649204	0.5618585	0.4480919	0.1648856	0.4490648	0.5320492	0.1448017	0.5761240	0.0944324	0.5806697	0.5231557	0.4879895	0.3210161	0.6615452	0.0537050	0.3249601	0.3447190	0.2088598	0.6007069	0.0929121	0.2768964	0.7136555	0.5117472	0.0398405	0.0246384	0.0556373	0.3495608	0.4218214	0.6877303	0.2577239	0.5671912	0.0406213	0.5741794	0.4754062	0.4996711	0.5614555	0.4237992	0.3393595	0.1281461	0.0644706	0.1856834	0.4402552	0.6753611	0.7035962	0.0240250	0.0946291	0.4754430	0.3268785	0.5677799	0.2212183	0.5376253	0.0232181	0.4117994	0.6251380	0.1063769	0.3276433	0.3746931	0.7031560	0.6599848	0.4547267	0.7339810	0.4882130	0.2299336	0.1886380	0.5367831	0.4935034	0.1412501	0.7364566	0.1372452	0.4184680	0.1585096	0.1633268	0.3283281	0.4414222	0.1015912	0.0041975	0.4177839	0.2077672	0.2888686	0.3475243	0.1876892	0.4919473	0.0974113	0.3514315	0.5516263	0.1561605	0.3790777	0.3579160	0.2440441	0.3504842	0.3479648	0.5511788	0.5567657	0.6289787	0.2277584	0.3197237	0.4461049	0.2934737	0.6352541
100	0.5501700	0.0374144	0.6071001	0.4828172	0.0933606	0.5558294	0.4178576	0.1452489	0.4587734	0.0529981	0.6327191	0.5473157	0.4836650	0.4205455	0.6844981	0.0400720	0.3415003	0.3377795	0.2372661	0.6291655	0.0451597	0.3904775	0.5468885	0.6307225	0.0241540	0.0414693	0.0235598	0.3560013	0.5956878	0.6229254	0.2118745	0.7228455	0.0253870	0.6002295	0.3297519	0.4460840	0.5843268	0.5254349	0.4319181	0.0942784	0.0203379	0.2183996	0.3185469	0.5825595	0.7052985	0.0259061	0.1127403	0.5591276	0.3565801	0.6413243	0.2044230	0.6143731	0.0686240	0.3202447	0.4666959	0.0690677	0.2725406	0.3234687	0.6001939	0.7246359	0.5217126	0.5862117	0.5795917	0.2514446	0.2598788	0.5853028	0.5823878	0.2486597	0.6714293	0.2063316	0.4528982	0.1629758	0.1446933	0.4125612	0.3544983	0.1368488	0.0004924	0.5226772	0.1213309	0.2878521	0.1819502	0.2149281	0.4785995	0.0782233	0.2803562	0.5896429	0.2683308	0.4448904	0.1793580	0.2755848	0.4662738	0.3897339	0.4929378	0.5552086	0.6153789	0.2297355	0.3123003	0.4551454	0.2371352	0.7064758
150	0.5513908	0.0522491	0.5395741	0.4416092	0.1695297	0.4588669	0.5099405	0.2325505	0.3551802	0.0722733	0.6663208	0.6278389	0.6133725	0.3925372	0.6984324	0.0139585	0.3236497	0.3513755	0.1647647	0.6207909	0.0424993	0.3909287	0.6886539	0.5645774	0.0212633	0.1381499	0.0096748	0.2240066	0.4282112	0.6163823	0.1929123	0.7292746	0.0097438	0.6546871	0.4754384	0.4870543	0.5892760	0.4819192	0.4059753	0.0828353	0.0138481	0.2278833	0.3039029	0.7192175	0.6369893	0.0319048	0.1120127	0.6805872	0.5059080	0.6036717	0.2402971	0.6055283	0.0211458	0.2982756	0.3810394	0.0812924	0.2487761	0.2169700	0.7658290	0.5823133	0.3711191	0.7593856	0.5883551	0.2080694	0.2989325	0.4162094	0.5144049	0.1999997	0.6453094	0.2214169	0.4468236	0.1251693	0.1508247	0.2496159	0.3792519	0.1756850	0.0006940	0.4812052	0.0657351	0.4595442	0.1626945	0.1683020	0.3975963	0.0205855	0.3554778	0.7339307	0.2556692	0.3541954	0.0853107	0.2383755	0.3685422	0.3781664	0.5055588	0.7087238	0.5494640	0.1691615	0.2287992	0.4334502	0.2433320	0.5608885
200	0.6177446	0.1072153	0.5630095	0.5078674	0.2169440	0.4676866	0.5962777	0.1376116	0.3119457	0.0709179	0.6708628	0.5646555	0.6046375	0.4705553	0.6503521	0.0157976	0.4321591	0.3202811	0.1495005	0.5568560	0.0952118	0.3866531	0.6669124	0.4644053	0.0232603	0.1782902	0.0082578	0.2370216	0.2707936	0.7510299	0.1966084	0.6178395	0.0010976	0.5980272	0.4234484	0.4478499	0.6198932	0.5099129	0.4739093	0.0737791	0.0039111	0.2419320	0.3425815	0.6339546	0.5901743	0.0357794	0.1027116	0.6550429	0.4473965	0.5619698	0.1990573	0.5760456	0.0410303	0.2901481	0.3412585	0.1112751	0.2992193	0.2677893	0.5854443	0.6906440	0.4309293	0.6351817	0.6230770	0.2103018	0.3301438	0.4036687	0.6658548	0.2209080	0.7095156	0.2292218	0.3817441	0.2560559	0.1925839	0.3166222	0.5385746	0.2033267	0.0046318	0.4134703	0.0455400	0.5083771	0.2173278	0.1917578	0.4739386	0.0143930	0.2683774	0.5763062	0.2357953	0.3163502	0.0217698	0.2338522	0.3369739	0.4431824	0.4182318	0.6286198	0.5701955	0.2430159	0.1797667	0.3572719	0.2626270	0.7087986
250	0.5705451	0.1212270	0.4797233	0.4036537	0.1500098	0.5202105	0.4709344	0.1290031	0.3976776	0.0518946	0.6150851	0.5632698	0.5130224	0.4359049	0.7284571	0.0332338	0.5104062	0.4029664	0.1743332	0.7176520	0.0549710	0.3580768	0.7590115	0.5345910	0.0171638	0.1568423	0.0111344	0.2435397	0.2544949	0.5772623	0.1829315	0.6195400	0.0185750	0.6296402	0.5158688	0.3839023	0.5707586	0.4110934	0.4167368	0.0423183	0.0279191	0.1564236	0.3537629	0.6332844	0.5861373	0.0378202	0.1171214	0.5883906	0.4403053	0.5687865	0.2104018	0.6248917	0.0369381	0.3366938	0.4758372	0.0836730	0.3368961	0.3338468	0.6152039	0.6821443	0.5951220	0.6445296	0.5507241	0.2163298	0.3180677	0.4172995	0.4624035	0.2762326	0.7077237	0.2468741	0.4515729	0.3263438	0.3554363	0.4023647	0.4961904	0.3009174	0.0015989	0.6247610	0.0789332	0.5787900	0.1834876	0.3754633	0.3781511	0.0296473	0.2213666	0.4439782	0.2803543	0.3273424	0.0326347	0.2762819	0.3361997	0.4104456	0.3869086	0.5655009	0.6613862	0.1764510	0.1934787	0.4215987	0.2900419	0.6729175
300	0.6467320	0.0729807	0.4503234	0.4592226	0.2294191	0.6281933	0.4581593	0.1564612	0.3893267	0.0394741	0.5836075	0.6050686	0.5195452	0.3465865	0.6863656	0.0307224	0.4665803	0.4346154	0.1692581	0.6841197	0.0859284	0.3011743	0.6895830	0.6229543	0.0162790	0.2096316	0.0043762	0.2542425	0.3018346	0.6073970	0.1426060	0.6821954	0.0229843	0.5417407	0.4465228	0.4121193	0.6273936	0.4792774	0.4424776	0.0701157	0.0173581	0.1902843	0.3597426	0.5603655	0.7157731	0.0390802	0.1314562	0.5835803	0.3204342	0.5481332	0.1861985	0.6775922	0.0523528	0.4127997	0.4093403	0.0570480	0.2539721	0.3611817	0.6653465	0.7103162	0.4287257	0.5867911	0.6447211	0.1458805	0.2992668	0.4033624	0.5116187	0.2768043	0.5905057	0.2143714	0.5022648	0.3447700	0.3905374	0.3137475	0.4518606	0.2603962	0.0039748	0.6122784	0.1051333	0.6582252	0.3186743	0.3423353	0.4242270	0.0356746	0.2358693	0.4030189	0.4003638	0.2754872	0.0165749	0.2401705	0.3654350	0.3848044	0.5250741	0.7953909	0.6834326	0.1694600	0.1374839	0.4655072	0.2300694	0.7488124
350	0.6117120	0.0476702	0.4149575	0.6086618	0.1933770	0.5584043	0.4799874	0.1740708	0.4001362	0.0600703	0.5833142	0.6877224	0.5262905	0.4963577	0.6156959	0.0527892	0.4981784	0.3795340	0.1791024	0.6972802	0.0774408	0.4193475	0.7062890	0.6279177	0.0139420	0.1989511	0.0078074	0.2525803	0.3707451	0.6243352	0.1666731	0.5701447	0.0110878	0.5576637	0.3586910	0.4384954	0.4886954	0.4457852	0.3295330	0.0739917	0.0245171	0.2051295	0.2814337	0.5908294	0.7091245	0.0202312	0.1224771	0.6092719	0.4153222	0.5195626	0.2123676	0.6685487	0.0455860	0.4317152	0.4202304	0.0484837	0.3054949	0.3714285	0.6060347	0.6094661	0.3796760	0.7033873	0.6352618	0.1676228	0.2657586	0.3777571	0.6515555	0.3102879	0.6392843	0.2696791	0.5025994	0.5264618	0.5036171	0.4409023	0.4924251	0.2419243	0.0002165	0.6187949	0.0812873	0.5663190	0.2168861	0.3604301	0.3559059	0.0193798	0.2347693	0.5483822	0.2995943	0.2136747	0.0307475	0.2086511	0.3240337	0.4070363	0.4843374	0.7335336	0.6234238	0.2162406	0.0843441	0.3385909	0.2681122	0.7480310
400	0.5570469	0.0844614	0.5239182	0.5724986	0.1535700	0.4263591	0.5044685	0.1857185	0.3810568	0.0823952	0.5820409	0.6334195	0.5410597	0.4458307	0.7247618	0.0415911	0.4800933	0.3416945	0.1342959	0.7769688	0.0660333	0.4356583	0.6724015	0.5998575	0.0341413	0.2375902	0.0426907	0.2868794	0.3777984	0.6596944	0.1475217	0.6400740	0.0015738	0.6353291	0.4046325	0.4411102	0.6269143	0.3871354	0.2712447	0.1023829	0.0051480	0.1842125	0.2892430	0.5926383	0.5811866	0.0249394	0.1398544	0.6000941	0.4264801	0.5072125	0.2855204	0.6032416	0.0630917	0.3913451	0.4140033	0.0743098	0.2755110	0.3068269	0.6527076	0.6699857	0.4814694	0.7463103	0.5139998	0.1637498	0.3389416	0.3681097	0.5512455	0.3202961	0.8011631	0.1977984	0.4557795	0.3136559	0.3516256	0.4370942	0.6125433	0.2912543	0.0034406	0.5460159	0.0827626	0.5516250	0.3274399	0.3771808	0.3722683	0.0531645	0.2225590	0.4487826	0.2788135	0.3308568	0.0180599	0.2423720	0.4753320	0.4923519	0.5358767	0.6623971	0.7413068	0.2330046	0.1169518	0.3730142	0.2635692	0.6469883
