"Time"	G1	G3	G5	G7	G8	G4	G83	G22	G6	G87	G85	G86	G54	G89	G88	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G80	G82	G51	G50	G58	G31	G78	G94	G93	G95	G91	G90	G17	G65	G16	G57	G52	G34	G55	G56	G33	G36	G37	G72

0	0.1197770	0.1710413	0.1510051	0.7143972	0.7463660	0.4771480	0.5207636	0.6559211	0.0145476	0.0036769	0.5727879	0.7060659	0.0884438	0.0499123	0.8794279	0.4033603	0.3206723	0.3403795	0.0699289	0.6649143	0.6681981	0.7484777	0.8408104	0.4727855	0.3569946	0.3287387	0.7220912	0.6131623	0.2164427	0.0277258	0.6147903	0.0801346	0.6198700	0.7059106	0.4475484	0.4407211	0.0122313	0.6898666	0.3440124	0.7487581	0.2569917	0.1191714	0.5381918	0.4608705	0.4028402	0.3246578	0.3860280	0.6556854	0.1668720	0.6690695
50	0.0979800	0.1212480	0.1154616	0.3052934	0.4575021	0.4750282	0.3742954	0.8408522	0.0258442	0.0107497	0.5651556	0.5970016	0.1718620	0.0505017	0.6555131	0.3632478	0.3732730	0.3175229	0.0520723	0.1737885	0.5653148	0.6194574	0.7646174	0.4296394	0.2952679	0.6039414	0.6730331	0.3904848	0.1423409	0.0529785	0.7517908	0.1085488	0.7511290	0.6196726	0.4221245	0.4251844	0.4234457	0.3230973	0.6278915	0.3989815	0.1285893	0.0916630	0.5905501	0.6366553	0.4567238	0.2917201	0.4186414	0.6814789	0.2735360	0.7254664
100	0.0582286	0.1653510	0.1169038	0.0838365	0.2405818	0.4034293	0.2598645	0.8859960	0.0162811	0.0033141	0.5353359	0.6803513	0.1351055	0.0454922	0.6364629	0.4138931	0.2949877	0.4245827	0.0447839	0.1140132	0.5074958	0.6539184	0.7168687	0.4118601	0.6245247	0.7741054	0.4265548	0.3533309	0.1836338	0.0270387	0.7090786	0.2188834	0.7202623	0.6628854	0.3611212	0.4440675	0.5214733	0.1193290	0.4873832	0.4885162	0.0364488	0.1741341	0.6724099	0.6185227	0.4451477	0.1784990	0.4792103	0.5056255	0.3501167	0.6118205
150	0.0589332	0.1387211	0.1340511	0.0781589	0.1429027	0.3233213	0.2438738	0.7690733	0.0200483	0.0000311	0.5312394	0.6514917	0.1349647	0.0461136	0.8123630	0.3633358	0.2663193	0.4797210	0.0971716	0.1083477	0.7028533	0.5175113	0.6782769	0.4772927	0.5593572	0.5629849	0.3956497	0.2228036	0.2302572	0.0361736	0.8191568	0.1505294	0.7199791	0.5816734	0.4003174	0.4373927	0.5461625	0.1010409	0.4454001	0.3320421	0.0714778	0.1150850	0.6173613	0.6788481	0.4107029	0.1627077	0.5407726	0.5338873	0.4082077	0.6637239
200	0.1450850	0.1533051	0.1801873	0.0332365	0.1235836	0.2122064	0.2406440	0.6555787	0.0520224	0.0030188	0.5812275	0.7642377	0.0866614	0.0759733	0.6215555	0.3861177	0.3196405	0.3599060	0.0745434	0.1383423	0.5578659	0.6001778	0.6268247	0.3684460	0.4653608	0.6721763	0.4206337	0.2208698	0.2574249	0.0300747	0.8335820	0.1401531	0.6594917	0.6552482	0.3952943	0.3842766	0.5384473	0.1174937	0.4758590	0.4591696	0.0317504	0.0803005	0.6186266	0.6584775	0.5830434	0.1880900	0.4621315	0.5927023	0.3692128	0.6721402
250	0.0836242	0.1481123	0.1609956	0.0345128	0.1252752	0.3651262	0.2257637	0.7583768	0.0409537	0.0035568	0.5971077	0.6136281	0.1203787	0.0835394	0.6800114	0.4002271	0.3194566	0.3775976	0.0742734	0.1235418	0.5852421	0.7115766	0.7718484	0.4117751	0.5295885	0.7367826	0.2954859	0.1866740	0.1989000	0.0187091	0.7312487	0.1360693	0.7379351	0.6154175	0.3782669	0.4239712	0.6043275	0.1098377	0.5733318	0.4096468	0.0208304	0.1229908	0.6015498	0.7123108	0.4772258	0.2091100	0.4955114	0.6797587	0.3047945	0.5129814
300	0.1239805	0.1697124	0.1129000	0.0510832	0.1527781	0.4906681	0.2257281	0.6736270	0.0656995	0.0018334	0.5509084	0.7962247	0.1181769	0.1284014	0.6618442	0.3567121	0.4194838	0.3286914	0.0785489	0.1534188	0.5795511	0.5730488	0.7148085	0.3564109	0.5237808	0.7143471	0.2733086	0.1752638	0.2128237	0.0143057	0.8138941	0.2084978	0.7083738	0.7847609	0.3215278	0.4731378	0.6208180	0.1155415	0.5405346	0.3660593	0.0442446	0.1399901	0.5832049	0.7302705	0.5096838	0.1291502	0.4751686	0.5966717	0.4040905	0.4507151
350	0.0916788	0.1519468	0.0801842	0.0712498	0.2092383	0.3869367	0.2000336	0.7232356	0.0662652	0.0031551	0.5542134	0.8124862	0.0758184	0.1325949	0.6585423	0.5557947	0.4334473	0.3250340	0.0360428	0.0991998	0.6021860	0.6835097	0.7918175	0.2934605	0.4859606	0.5837829	0.2524498	0.2311886	0.2665759	0.0456949	0.8368465	0.1479104	0.7198013	0.6820925	0.4133957	0.5031516	0.6741935	0.1345307	0.6258917	0.3420067	0.0234444	0.1245837	0.6121570	0.8451693	0.5969188	0.1049889	0.4780937	0.5054479	0.3742686	0.6464698
400	0.0880467	0.1300641	0.1270029	0.0664515	0.1583295	0.3057498	0.2400227	0.7730806	0.0303818	0.0055203	0.5753765	0.8422623	0.1447113	0.0792130	0.5976544	0.3762310	0.3428246	0.3725852	0.0648319	0.1315120	0.6010147	0.6288272	0.7396181	0.3425513	0.5324342	0.6064079	0.3079532	0.1652222	0.2385449	0.0395498	0.8305124	0.1539328	0.7165340	0.6520327	0.3434032	0.4988440	0.6959979	0.1015104	0.6365541	0.3600723	0.0483016	0.1612907	0.6167831	0.6356764	0.5105323	0.0890339	0.4008300	0.6969655	0.3246905	0.6237047
