"Time"	G1	G3	G5	G7	G8	G4	G83	G22	G6	G87	G85	G86	G54	G89	G88	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G80	G82	G51	G50	G58	G31	G78	G94	G93	G95	G91	G90	G17	G65	G16	G57	G52	G34	G55	G56	G33	G36	G37	G72

0	0.0929615	0.1736722	0.1210242	0.8702429	0.9265526	0.3383539	0.4732159	0.6720651	0.0431007	0.0048191	0.7537603	0.8015545	0.1395660	0.0808775	0.7888877	0.3636351	0.2765503	0.5089353	0.0684068	0.5056669	0.6468478	0.5655705	0.7339235	0.4292778	0.2040604	0.4814635	0.7894082	0.5836256	0.1592847	0.0172525	0.6507320	0.1042578	0.7768241	0.6560507	0.4610753	0.5204993	0.0136999	0.6641214	0.4462281	0.5957097	0.3733743	0.1032538	0.5955889	0.5411713	0.3338326	0.2889432	0.3892052	0.6495970	0.1177342	0.7486820
50	0.1152657	0.1512244	0.0798657	0.6816542	0.7021332	0.4088804	0.4640996	0.3210239	0.0130051	0.0000265	0.2667108	0.8065986	0.0938162	0.0569649	0.6813854	0.6453092	0.5085605	0.3275081	0.0449636	0.5101707	0.4804078	0.3511639	0.8181431	0.3949492	0.2788946	0.2559767	0.6090093	0.5249145	0.2623419	0.0489153	0.6643345	0.1493776	0.2372390	0.5209814	0.3047362	0.3108966	0.0159159	0.7142560	0.4107176	0.6763158	0.1746897	0.1854078	0.6612918	0.4060068	0.3595498	0.3412836	0.5294838	0.4485018	0.0574488	0.5018530
100	0.1410472	0.1561503	0.0911639	0.6637933	0.7343844	0.3591686	0.4743966	0.2215739	0.0158404	0.0005452	0.3165352	0.6917227	0.1004839	0.0538286	0.8138484	0.6548136	0.4694170	0.3320918	0.0625574	0.6507742	0.3881566	0.2299600	0.5838539	0.4454982	0.2594298	0.1433047	0.5881478	0.5244011	0.1451116	0.0252379	0.6915920	0.0890703	0.0659263	0.2945527	0.2051641	0.0988772	0.0092623	0.5580319	0.4084639	0.7446165	0.1137909	0.2162982	0.6097631	0.4348496	0.3878513	0.3412010	0.3708666	0.3822241	0.0689328	0.5171033
150	0.1517184	0.1529748	0.1562401	0.7331630	0.6359916	0.4026434	0.4103570	0.2661785	0.0295382	0.0006496	0.2823421	0.7118971	0.0803598	0.0708909	0.5723278	0.6671379	0.4770367	0.3567057	0.0708880	0.6062268	0.3355674	0.1939646	0.6975848	0.4013910	0.0872583	0.1193456	0.7866337	0.3702689	0.1651934	0.0466904	0.7766223	0.1605887	0.0599714	0.1821167	0.1621816	0.0928391	0.0072825	0.7136478	0.3137596	0.8042541	0.1068877	0.2442628	0.6292784	0.3131881	0.3989012	0.3237683	0.3927042	0.3526844	0.1268582	0.5292229
200	0.1306551	0.1342852	0.1338524	0.6942282	0.6734429	0.4710944	0.4789314	0.3278811	0.0328828	0.0002677	0.3293830	0.5660671	0.1720687	0.0431670	0.8194529	0.6238498	0.6891494	0.3002824	0.0995020	0.5409663	0.2638507	0.1671355	0.7165629	0.3646602	0.0791058	0.0350377	0.6701539	0.4438819	0.1914549	0.0631765	0.7390958	0.0801246	0.0707159	0.0655372	0.0554103	0.0253857	0.0141657	0.7045977	0.3679638	0.6025588	0.0873650	0.2444693	0.5309000	0.4547453	0.3277300	0.3892558	0.3648676	0.4196701	0.0897572	0.5141290
250	0.0970096	0.1392165	0.1464559	0.6284852	0.6507502	0.3808470	0.5188110	0.2903143	0.0205659	0.0002733	0.2846583	0.5937600	0.1154693	0.0638147	0.8322155	0.7376430	0.6046982	0.3609124	0.0692021	0.5706664	0.1833635	0.1206725	0.6275846	0.3797589	0.0604957	0.0297860	0.7246036	0.6603833	0.1485519	0.0304007	0.7056652	0.1110345	0.0616100	0.0245425	0.0354963	0.0238349	0.0170425	0.7915469	0.2995068	0.7933014	0.0994987	0.2931252	0.6060200	0.4614839	0.4084369	0.3119968	0.4295985	0.3737808	0.1009247	0.5179491
300	0.1401708	0.1494146	0.1431023	0.6754185	0.6822360	0.3288461	0.5039834	0.2793096	0.0150462	0.0043152	0.2758941	0.6376118	0.1716354	0.0766882	0.7411009	0.6525752	0.5621740	0.3300665	0.0560951	0.5959274	0.2698051	0.1667032	0.7405733	0.3822154	0.0453398	0.0455396	0.7360099	0.5446208	0.2734053	0.0160608	0.6962537	0.1085322	0.0527560	0.0938574	0.0533418	0.0130605	0.0166433	0.6788481	0.3852232	0.6788993	0.0604744	0.2898910	0.4658585	0.4672731	0.3932373	0.3322429	0.5201786	0.2897374	0.1541219	0.5478321
350	0.1644650	0.1497858	0.2133272	0.6487280	0.6386143	0.2931199	0.5277511	0.2470015	0.0484153	0.0005068	0.2282309	0.6086352	0.1877600	0.0956936	0.6151609	0.6879845	0.6309678	0.2971451	0.0823599	0.4863239	0.3428771	0.1371275	0.7163652	0.4681685	0.0615185	0.0584176	0.6173628	0.5643805	0.3337206	0.0244697	0.6664945	0.2198856	0.0823889	0.0472219	0.0631946	0.0174832	0.0065968	0.6926586	0.4157760	0.7422261	0.0636024	0.3137018	0.5131008	0.4444500	0.5117926	0.2623757	0.5101504	0.3661651	0.1268440	0.4407821
400	0.1256120	0.1692812	0.2062748	0.7335837	0.6601874	0.3122184	0.5383852	0.3297649	0.0197005	0.0037329	0.2212827	0.6326864	0.1497664	0.0984998	0.5234947	0.6883049	0.5447193	0.3473544	0.0616424	0.4349636	0.3013510	0.2054191	0.8132798	0.3798021	0.0745910	0.0109679	0.7968727	0.6391137	0.2773251	0.0378269	0.7151146	0.0605078	0.0216333	0.0478467	0.0480217	0.0129854	0.0090021	0.8088951	0.2915697	0.6719527	0.1016921	0.3482209	0.6949122	0.5292407	0.4863763	0.2783890	0.4258618	0.3133555	0.1697802	0.5232125
