"Time"	G1	G10	G20	G2	G17	G16	G4	G9	G8	G18	G94	G11	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G14	G12	G49	G39	G41	G44	G22	G21	G50	G13	G52	G53	G51	G55	G42	G40	G45	G54	G61	G47	G43	G48	G57	G72	G67	G60	G59	G99	G58	G80	G84	G83	G89	G82	G81	G79	G88	G78	G77	G85	G75	G90	G91	G86	G69	G93	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24

0	0.6861042	0.2031360	0.5228770	0.3041237	0.1738564	0.2388510	0.2470841	0.0311875	0.0011063	0.5238335	0.7730063	0.0694633	0.4433786	0.6113509	0.1161769	0.4865948	0.3005511	0.8628494	0.4506768	0.6053060	0.6886326	0.6807837	0.4797496	0.6322987	0.0213027	0.1152482	0.4523560	0.1810093	0.6823745	0.7099740	0.1611061	0.2053430	0.1828786	0.6477506	0.0859452	0.3397407	0.5401634	0.2377539	0.3981183	0.4496629	0.6679985	0.1495908	0.3965197	0.0448756	0.0055335	0.3848338	0.0472803	0.4407818	0.2918766	0.6663735	0.4935498	0.6211886	0.8091121	0.0437659	0.7088028	0.6496649	0.3548611	0.5969538	0.1131478	0.5026415	0.3349451	0.0105777	0.4133771	0.0063351	0.4284608	0.0095376	0.5001616	0.2803427	0.3347890	0.7305909	0.2166629	0.1735811	0.0230542	0.4625786	0.3194389	0.4946648	0.5856660	0.7090990	0.4845589	0.5922794	0.0969315	0.2631007	0.0217880	0.6993606	0.7751149
50	0.6239118	0.0640097	0.6447175	0.3542292	0.2007777	0.1280813	0.2702981	0.0177170	0.0007887	0.4333143	0.4029504	0.0931949	0.4471538	0.6444046	0.2249892	0.5005658	0.3248206	0.6041311	0.4947434	0.6616113	0.6729714	0.6174949	0.6250622	0.5174625	0.0325238	0.1688536	0.4717336	0.3122862	0.5682102	0.6554526	0.1294049	0.1411880	0.1266871	0.7823136	0.0628759	0.3631670	0.6896349	0.1081134	0.3778784	0.2936347	0.4585565	0.1546015	0.3241708	0.0370089	0.0053338	0.3120231	0.0735196	0.6094824	0.3445327	0.3035811	0.4447884	0.3737758	0.6173738	0.5527107	0.6672684	0.7141424	0.4029820	0.6713153	0.1581410	0.5807121	0.6201684	0.2175304	0.4374152	0.0256418	0.4609121	0.2105046	0.6581062	0.4498358	0.4164155	0.7726480	0.3269562	0.0936030	0.0104608	0.4301146	0.2723135	0.5735249	0.3222971	0.3189280	0.4460027	0.7756446	0.1005664	0.0986346	0.0670195	0.7664977	0.5833600
100	0.5777082	0.0187945	0.6525755	0.3240913	0.2030830	0.1026941	0.2261172	0.0487849	0.0018756	0.3878135	0.4064158	0.0930544	0.2468983	0.7055291	0.2233018	0.4760717	0.2145675	0.6958750	0.5794297	0.8611889	0.7953266	0.4455708	0.7652554	0.6405463	0.0579673	0.2451376	0.4230159	0.3722451	0.6113789	0.6823225	0.1194877	0.2206013	0.1306763	0.6986372	0.1351367	0.4232163	0.7704530	0.0793929	0.3554110	0.3331888	0.6496734	0.1607735	0.2938184	0.0565012	0.0141497	0.2544126	0.1083460	0.7393057	0.3180326	0.1626401	0.3837799	0.2177146	0.6770751	0.7401441	0.6890398	0.6109449	0.4509693	0.6702299	0.1480165	0.5685496	0.6511221	0.2929765	0.5193100	0.0074058	0.4227448	0.3039490	0.5564142	0.4036382	0.4532003	0.6527449	0.2598069	0.0570494	0.0076845	0.4492842	0.2890257	0.5400220	0.2157763	0.2043682	0.3479737	0.7267257	0.0286400	0.0545341	0.1353760	0.5750200	0.6860514
150	0.7388066	0.0278802	0.5827969	0.2734320	0.2382541	0.0575385	0.3514983	0.0201085	0.0034087	0.4835443	0.3243322	0.0683314	0.2577038	0.7589208	0.3302114	0.5424498	0.2526909	0.6496390	0.5510076	0.7171295	0.7541899	0.5028248	0.7768619	0.5992211	0.0788018	0.1885467	0.4833125	0.3861035	0.6986629	0.7223145	0.1035174	0.3133210	0.1283199	0.6821007	0.1107870	0.4242934	0.6174548	0.0987183	0.3455910	0.3467790	0.5977817	0.1357866	0.3044850	0.0628853	0.0030758	0.2909892	0.1076109	0.6272030	0.3108831	0.1058046	0.3370753	0.1512536	0.6718305	0.7410557	0.6971635	0.6653704	0.3774761	0.6647309	0.1950228	0.4859720	0.6430679	0.2218607	0.4585689	0.0098650	0.4155504	0.2043412	0.5504392	0.3521798	0.3716385	0.6754606	0.2198069	0.0829302	0.0152737	0.3779372	0.3562593	0.4721530	0.0859275	0.2225723	0.3864677	0.5612581	0.0629771	0.0334306	0.1531708	0.7093133	0.6399344
200	0.7096802	0.0403309	0.5720314	0.2645066	0.2209997	0.0528385	0.3204379	0.0197354	0.0035505	0.5047487	0.3762828	0.1418825	0.2115354	0.6553584	0.2788757	0.5673851	0.1680401	0.6281097	0.4909682	0.6969930	0.6241845	0.5283585	0.6245247	0.6312121	0.0382716	0.1659054	0.4289078	0.3362417	0.7385599	0.7049569	0.0744621	0.2942031	0.1219799	0.6244691	0.1766960	0.4463197	0.5609062	0.0978521	0.4252895	0.3230923	0.5384101	0.1329960	0.3549547	0.0457037	0.0069586	0.2824132	0.1318989	0.6765195	0.2807112	0.0782964	0.3571588	0.0932843	0.6468994	0.8208352	0.5179535	0.6906315	0.4642264	0.7052941	0.1914796	0.5466836	0.6158764	0.2331321	0.4800777	0.0164548	0.4922938	0.1763585	0.6504601	0.3565797	0.4267353	0.7668125	0.2383164	0.0364306	0.0100510	0.3804227	0.3534552	0.4272280	0.1582894	0.2608661	0.4101397	0.6535746	0.0458273	0.0568324	0.1943938	0.6644365	0.7731986
250	0.6304477	0.0233973	0.5244736	0.3586001	0.2456669	0.0776690	0.2362695	0.0194587	0.0010136	0.3640213	0.4025545	0.0580965	0.1320601	0.7294575	0.3100853	0.6211065	0.2310111	0.7283176	0.5097443	0.6361150	0.6561444	0.4615120	0.5788695	0.6590045	0.0488710	0.1763833	0.4261416	0.4008608	0.6653680	0.6421739	0.0574573	0.3157154	0.1266484	0.6627078	0.1683827	0.6088562	0.6067182	0.1064097	0.2571810	0.3571785	0.5181433	0.1385451	0.3020447	0.0297854	0.0009959	0.3592279	0.0940405	0.6173658	0.3015101	0.0768640	0.5186283	0.1119499	0.6606486	0.6840083	0.5805582	0.6996833	0.3443625	0.7705462	0.2072418	0.4114112	0.5065501	0.2237670	0.4362457	0.0018821	0.3991999	0.3245242	0.6834704	0.3354445	0.3298774	0.7687920	0.3000173	0.0419220	0.0259100	0.3889008	0.4062143	0.4955197	0.1120438	0.2391812	0.4481103	0.6560033	0.0432546	0.1006560	0.1042522	0.7420723	0.7802343
300	0.6658209	0.0250098	0.5768519	0.2517721	0.1879810	0.0888073	0.3072895	0.0220392	0.0000000	0.3628953	0.3391704	0.1497042	0.1130129	0.5905200	0.1930913	0.4356194	0.2781836	0.7585965	0.4298845	0.7324973	0.6453499	0.3341512	0.8043228	0.5461948	0.0818129	0.2038080	0.5021791	0.4121575	0.7263624	0.6872948	0.0591035	0.3875689	0.1580022	0.8471438	0.1573590	0.4483345	0.5808495	0.1190194	0.3304451	0.3079638	0.5426930	0.1459307	0.3353779	0.0599531	0.0159355	0.3513062	0.0977761	0.6985817	0.2608264	0.0693105	0.4218411	0.1079955	0.7296013	0.6499169	0.6777488	0.7554474	0.3835126	0.6938340	0.2289609	0.4544549	0.5280554	0.2559304	0.4364463	0.0044595	0.5128440	0.3265912	0.5881690	0.3707014	0.3938319	0.6924914	0.2855208	0.0793590	0.0108270	0.3321246	0.2413067	0.5198060	0.1890241	0.3020428	0.2537949	0.5471946	0.0802555	0.1155448	0.1556613	0.6718671	0.8169873
350	0.8147316	0.0427574	0.7238335	0.2390694	0.1730175	0.0887765	0.3248292	0.0231871	0.0069261	0.4111704	0.3472713	0.1114288	0.1606520	0.7503497	0.2551288	0.4654379	0.2880329	0.6337050	0.4363013	0.6445617	0.6168110	0.4642317	0.8144705	0.5834805	0.0983322	0.1477556	0.4243360	0.4275163	0.6996659	0.6517689	0.0379439	0.3647723	0.1571243	0.7506483	0.1757047	0.3800739	0.6397731	0.1431822	0.3610156	0.4295940	0.6023788	0.1523331	0.4216935	0.0839415	0.0075618	0.3147425	0.0552510	0.6597051	0.2981585	0.0839518	0.3498917	0.1017430	0.5879986	0.5945926	0.8502810	0.6430250	0.4331944	0.6959187	0.3578622	0.5425267	0.4295705	0.2273506	0.4812470	0.0021722	0.5279961	0.2805351	0.5485518	0.3457527	0.3954637	0.8193410	0.2219066	0.0705521	0.0097637	0.4254567	0.3020495	0.5625315	0.1347645	0.2013332	0.2849064	0.5813431	0.0503002	0.0518220	0.1460759	0.6966202	0.7274811
400	0.6609587	0.0247679	0.6525247	0.3595821	0.2490206	0.1092292	0.2438650	0.0518119	0.0020907	0.4268513	0.3324485	0.0553899	0.1701908	0.6415176	0.2523354	0.6417471	0.2179377	0.6852572	0.5128419	0.8407991	0.6606049	0.5173229	0.7068311	0.6600998	0.0488436	0.2054565	0.4386501	0.4698479	0.7896770	0.6222346	0.0890037	0.3239060	0.1810398	0.6942592	0.1273954	0.5851104	0.6296993	0.1409508	0.3212503	0.4153753	0.5662493	0.1744418	0.5588921	0.0583101	0.0051787	0.3088199	0.0814408	0.7160015	0.3421646	0.0646689	0.3703073	0.0916928	0.5993288	0.6782363	0.6693222	0.7869075	0.4338213	0.8366832	0.2285065	0.5134933	0.5889762	0.2799754	0.5094381	0.0103017	0.4401686	0.3086296	0.4997501	0.3838680	0.4049239	0.7592518	0.2478964	0.0469075	0.0026534	0.3672916	0.2458963	0.4957609	0.1633304	0.2556577	0.2698859	0.7363782	0.0994914	0.0802125	0.0925119	0.6059593	0.6784342
