"Time"	G1	G10	G2	G20	G17	G16	G4	G9	G11	G18	G94	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G12	G13	G14	G41	G50	G52	G53	G51	G21	G22	G55	G42	G44	G39	G49	G40	G54	G45	G47	G43	G61	G72	G67	G57	G48	G95	G8	G60	G59	G99	G58	G79	G82	G83	G81	G89	G84	G80	G88	G91	G90	G75	G78	G77	G86	G85	G69	G93	G92	G87	G68	G27	G96	G97	G63	G26	G25	G23	G24	G62	G76	G71	G74	G31

0	0.3524466	0.1576480	0.0733277	0.1346582	0.5057620	0.3160629	0.6021192	0.1007287	0.6817208	0.2072691	0.5301143	0.7703953	0.3429077	0.1873872	0.1424816	0.7111674	0.6312901	0.7296024	0.9229681	0.7447754	0.6260241	0.0560218	0.6544318	0.3958719	0.6551305	0.6386929	0.3515874	0.3683219	0.8216951	0.1823086	0.2923673	0.7872116	0.1184168	0.7229419	0.5963821	0.1647543	0.3533393	0.3357604	0.6873356	0.6227374	0.6474960	0.4656499	0.6509450	0.6016072	0.3583743	0.2179426	0.1642391	0.7054666	0.5679252	0.0075095	0.6281833	0.7094812	0.0232141	0.4725838	0.0005961	0.6720791	0.0169844	0.0754997	0.7591997	0.1754568	0.4605085	0.5685241	0.0387681	0.6485856	0.4969508	0.2596411	0.4522363	0.1937809	0.3947833	0.4043023	0.1036449	0.1771410	0.4045939	0.0530529	0.5819071	0.4687759	0.4121741	0.0002400	0.6619835	0.2717559	0.4805582	0.0843066	0.0617151	0.7186141	0.3622808	0.6167467	0.3199014	0.3622467	0.1886209	0.7398547
50	0.3823108	0.0137784	0.0592080	0.1496111	0.4527778	0.2394609	0.6787698	0.1434308	0.5977532	0.2688564	0.6119450	0.6889167	0.2757972	0.2208112	0.4864504	0.6365055	0.6229388	0.7104821	0.6472468	0.3214694	0.6556183	0.0611619	0.7017796	0.2838522	0.5804649	0.7725962	0.3830992	0.3448588	0.4306369	0.1599714	0.2437691	0.6104419	0.1535907	0.6896851	0.6176553	0.4889136	0.4946172	0.2668736	0.7197812	0.3941199	0.5625727	0.5044868	0.7650404	0.5621564	0.3345808	0.2780754	0.1237558	0.6520242	0.4343323	0.0308020	0.1488503	0.6765618	0.0641985	0.4940861	0.1163072	0.1459466	0.0281378	0.0653543	0.6135296	0.1938426	0.6488416	0.6000893	0.3910797	0.7845491	0.3419855	0.2514398	0.4546386	0.0521690	0.4814585	0.4186049	0.0312318	0.2098644	0.3621530	0.0444947	0.6996425	0.2106263	0.3701572	0.0000038	0.7681453	0.4465205	0.5943271	0.1213390	0.0795520	0.2794195	0.6352537	0.7326328	0.3399406	0.3853030	0.0904421	0.9373583
100	0.3453698	0.0110151	0.0508504	0.1436971	0.4482520	0.2537238	0.6210615	0.1031331	0.7839618	0.3352486	0.8223072	0.6987514	0.4258179	0.1885554	0.5250001	0.6284965	0.6937475	0.6113073	0.5564367	0.1541331	0.4753218	0.0098484	0.5561721	0.2533746	0.6339166	0.6597447	0.2834852	0.3549654	0.3924458	0.1771999	0.3124986	0.6647282	0.1113265	0.7234137	0.6003300	0.6628778	0.4143653	0.2116668	0.6554553	0.3287208	0.6867485	0.4639708	0.6138273	0.5213019	0.3530109	0.2746485	0.1309453	0.7386557	0.4959715	0.0124475	0.1272545	0.7270976	0.1025234	0.3979132	0.2169276	0.1004297	0.0765174	0.1389809	0.7051151	0.1975494	0.6073059	0.5940987	0.4465764	0.6753296	0.4210424	0.2042573	0.4321478	0.0304801	0.5155114	0.4183437	0.0440891	0.1242677	0.3633717	0.0650265	0.7289753	0.0811496	0.4859092	0.0004551	0.6119834	0.4452300	0.5619529	0.1214435	0.0359523	0.2902047	0.4014436	0.7286352	0.3960564	0.4026352	0.0419789	0.8485144
150	0.3994063	0.0016559	0.0521999	0.1382007	0.3967086	0.2423364	0.6604592	0.1175650	0.6552271	0.2784865	0.7686014	0.7017234	0.3378442	0.1725122	0.4382161	0.8061285	0.6903943	0.6157113	0.6150931	0.0650066	0.5216562	0.0081099	0.5707524	0.2469810	0.6155816	0.6835965	0.3580859	0.3274271	0.3198362	0.1414545	0.2462511	0.5741360	0.1373087	0.7827981	0.5821912	0.6134645	0.4455512	0.1999629	0.6667848	0.3152954	0.5944602	0.5297428	0.6892178	0.4782516	0.2738467	0.3559583	0.0737990	0.7861780	0.4556685	0.0190096	0.0906977	0.6210931	0.1401917	0.6142733	0.2904751	0.0372170	0.0550652	0.0744151	0.7174343	0.1612411	0.7843519	0.6497342	0.3617560	0.7008375	0.3558769	0.2982454	0.5302294	0.0100770	0.5551315	0.3369773	0.0337196	0.1276793	0.3872773	0.0630198	0.7668718	0.0653614	0.5246701	0.0009013	0.7118220	0.5792308	0.5191018	0.0572592	0.0785080	0.2602232	0.2799754	0.6483919	0.3617973	0.3965374	0.0285500	0.7977048
200	0.2851999	0.0003692	0.0419818	0.1411046	0.3638926	0.3245157	0.7616632	0.0936715	0.7871461	0.3145379	0.6842743	0.7859633	0.4305563	0.1720291	0.4669376	0.4980000	0.6325939	0.6101714	0.4764172	0.1212631	0.5510005	0.0032704	0.5131924	0.2258875	0.7387052	0.5791496	0.3805248	0.3513235	0.3728570	0.1447449	0.3413036	0.6918192	0.1450841	0.5505847	0.5673195	0.5564633	0.3439969	0.2907812	0.7803176	0.3615717	0.5426248	0.4393384	0.8333628	0.5157454	0.2967897	0.3139224	0.1377526	0.8861853	0.6092963	0.0217312	0.0601630	0.7674129	0.0653711	0.4337014	0.2444098	0.0873864	0.0173899	0.0605635	0.7109829	0.1629903	0.6970976	0.5988224	0.4998072	0.5980033	0.3798037	0.2982800	0.5284836	0.0004865	0.5539051	0.4215309	0.1075240	0.1346762	0.4167973	0.0486444	0.7722904	0.0606644	0.6406886	0.0000517	0.7077187	0.5665952	0.5648593	0.0748122	0.1179457	0.1499287	0.2951418	0.5669467	0.4399376	0.3533602	0.0608760	0.7862358
250	0.3668626	0.0027246	0.0823496	0.2186932	0.3058462	0.2919851	0.7249709	0.1110200	0.7169236	0.2580351	0.5102741	0.7295796	0.4835944	0.2839942	0.5062657	0.5553810	0.7486655	0.7254162	0.3560222	0.0533402	0.5606670	0.0224678	0.4573267	0.2853987	0.5664686	0.5976330	0.3033630	0.2849440	0.2836745	0.2229326	0.4381155	0.7458106	0.1548380	0.6491663	0.6090770	0.5135857	0.3782732	0.2400208	0.5928854	0.2784036	0.5808445	0.5738429	0.7576639	0.5232777	0.3110592	0.2605648	0.1211358	0.7370997	0.4329529	0.0208657	0.0614430	0.7020413	0.0914881	0.3793876	0.1390684	0.0743592	0.0599040	0.0671956	0.7838813	0.1524920	0.6109059	0.4723043	0.4114206	0.7732377	0.3417550	0.3560052	0.5410398	0.0000000	0.5147311	0.4026550	0.0859461	0.1280814	0.4030268	0.0659158	0.6590556	0.0514094	0.6759379	0.0001805	0.6499635	0.6268142	0.5559896	0.0601680	0.1882403	0.1278267	0.1727138	0.5840771	0.4036357	0.3712006	0.0467711	0.7124686
300	0.3206997	0.0034739	0.0704378	0.2008111	0.4063334	0.2928136	0.6669379	0.1113621	0.7948591	0.2898147	0.5316713	0.7563037	0.3294454	0.2907713	0.5677666	0.5267604	0.6622454	0.5332265	0.1908011	0.0908955	0.5163904	0.0018593	0.4222530	0.2691603	0.5975059	0.6508723	0.3123813	0.3850453	0.2665313	0.1562809	0.3373961	0.7720707	0.1336637	0.8271275	0.6753369	0.5057640	0.3552204	0.1411713	0.6748435	0.3635474	0.8005604	0.5381913	0.7551545	0.6182943	0.2915056	0.2546897	0.1241776	0.7654511	0.3636298	0.0088458	0.0907071	0.6627087	0.0616149	0.4683449	0.2120772	0.0811760	0.0174003	0.1070484	0.8416434	0.1826051	0.7203714	0.5125776	0.4646842	0.7247612	0.4253891	0.2071506	0.3970307	0.0002524	0.5027262	0.4839736	0.0617352	0.0999309	0.3785817	0.0808120	0.8157631	0.0373075	0.6727813	0.0005962	0.8001308	0.6396819	0.5241292	0.0816416	0.1616050	0.1687505	0.1613551	0.6513316	0.4438923	0.4462213	0.0755529	0.7648590
350	0.3502389	0.0003868	0.0449184	0.1477770	0.3805911	0.3100684	0.8161620	0.1058566	0.7437910	0.2910307	0.7319456	0.6631375	0.3254647	0.2441980	0.3677350	0.4734485	0.6871507	0.4805691	0.2244294	0.0411557	0.5522894	0.0008880	0.5465388	0.2654390	0.5954102	0.7199123	0.2887426	0.3248897	0.3339217	0.1784326	0.3085987	0.6786114	0.1371110	0.5991460	0.7189683	0.6182086	0.3423544	0.2254002	0.7042433	0.2457013	0.5555003	0.6809073	0.6836903	0.6898594	0.3446696	0.3846850	0.1260194	0.7121828	0.4618721	0.0115462	0.1061126	0.6521168	0.1519279	0.5265845	0.1895478	0.0344027	0.0263811	0.1109278	0.5997343	0.2429321	0.7023767	0.6016091	0.4333468	0.8320248	0.5214361	0.2173708	0.4225959	0.0001971	0.6519956	0.5478644	0.0650604	0.0768628	0.4042550	0.0805464	0.6430559	0.0607131	0.7621025	0.0000000	0.7311011	0.5614243	0.5157743	0.0671850	0.1831536	0.2035598	0.1027424	0.7209787	0.4479822	0.3565314	0.0397653	0.5998867
400	0.3366638	0.0009322	0.0347035	0.1627412	0.4343357	0.2669348	0.6007627	0.0909104	0.7004677	0.2802457	0.6408477	0.7272635	0.4509860	0.2053421	0.5421348	0.5704307	0.7708604	0.3958035	0.2366568	0.0533809	0.4424184	0.0045233	0.5761061	0.2607319	0.6547408	0.6284209	0.3174529	0.4826942	0.3609777	0.1462773	0.3180163	0.7427569	0.1514158	0.5418135	0.5923627	0.4226449	0.3708559	0.2573343	0.6290307	0.3611634	0.6428667	0.5129781	0.7313212	0.6422182	0.2313797	0.3513970	0.1355524	0.7308877	0.5148575	0.0170677	0.0787440	0.6420272	0.0760104	0.4170453	0.2762885	0.0805954	0.0086275	0.0696108	0.6246651	0.1892410	0.8699037	0.6262304	0.4755191	0.7110375	0.4987780	0.1914989	0.4228560	0.0003628	0.4664430	0.5387794	0.0417941	0.0611265	0.4171381	0.1057212	0.7601518	0.0632056	0.7027031	0.0000830	0.7970916	0.5255414	0.6822442	0.0525670	0.2070297	0.2458494	0.1763963	0.7513833	0.4146647	0.3682049	0.0483746	0.6687815
